Source_String,Target_String,weight
We have: 2 2's.,We have no digits.,782
"We have: 3 2's, 3 3's.",We have: 2 2's.,186
"We have: 4 2's, 2 4's.",We have: 2 2's.,226
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",24
"We have: 5 2's, 5 3's, 5 4's, 5 5's.","We have: 4 2's, 4 3's, 4 4's.",16
"We have: 6 2's, 4 4's, 2 6's.","We have: 4 2's, 2 4's.",125
"We have: 6 2's, 3 3's, 3 4's, 2 6's.","We have: 4 2's, 2 4's.",18
"We have: 6 2's, 4 3's, 2 4's, 2 6's.","We have: 3 2's, 3 3's.",32
"We have: 6 2's, 6 3's, 5 4's, 2 5's, 3 6's.","We have: 4 2's, 4 3's, 4 4's.",7
"We have: 6 2's, 6 3's, 6 4's, 6 5's, 6 6's.","We have: 5 2's, 5 3's, 5 4's, 5 5's.",6
"We have: 11 1's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",1
"We have: 11 1's, 1 2, 1 3, 1 4, 1 5, 1 6.",We have no digits.,2
"We have: 11 1's, 11 2's, 2 3's, 1 4, 3 5's, 2 6's.","We have: 2 1's, 5 2's, 2 5's, 1 6.",1
"We have: 11 1's, 11 2's, 2 3's, 2 4's, 3 5's, 1 6.","We have: 2 1's, 5 2's, 1 4, 2 5's.",1
"We have: 11 1's, 14 2's, 11 4's, 2 5's, 5 6's.","We have: 2 1's, 12 2's, 6 4's, 4 6's.",2
"We have: 11 1's, 14 2's, 4 3's, 12 4's, 3 5's, 5 6's.","We have: 3 1's, 12 2's, 2 3's, 6 4's, 1 5, 4 6's.",12
"We have: 11 1's, 14 2's, 5 3's, 11 4's, 2 5's, 6 6's.","We have: 2 1's, 12 2's, 4 3's, 6 4's, 4 6's.",5
"We have: 11 1's, 2 2's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",10
"We have: 11 1's, 4 2's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 3 2's, 5 3's, 2 4's, 4 5's, 1 6.",1
"We have: 11 1's, 4 2's, 6 3's, 6 4's, 6 5's, 5 6's.","We have: 5 1's, 3 2's, 5 3's, 4 4's, 4 5's, 1 6.",19
"We have: 12 1's, 12 2's, 5 3's, 11 4's, 4 5's, 6 6's.","We have: 4 1's, 6 2's, 4 3's, 6 4's, 2 5's, 4 6's.",1
"We have: 12 1's, 13 2's, 4 3's, 11 4's, 1 5, 6 6's.","We have: 3 1's, 11 2's, 2 3's, 6 4's, 4 6's.",4
"We have: 12 1's, 14 2's, 1 3, 11 4's, 1 5, 6 6's.","We have: 2 1's, 12 2's, 6 4's, 4 6's.",1
"We have: 12 1's, 3 2's, 11 3's, 4 4's, 4 5's, 4 6's.","We have: 5 1's, 1 2, 6 3's, 3 5's, 3 6's.",6
"We have: 12 1's, 5 2's, 11 3's, 3 4's, 5 5's, 4 6's.","We have: 5 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's.",1
"We have: 12 1's, 5 2's, 11 3's, 3 4's, 6 5's, 3 6's.","We have: 5 1's, 3 2's, 5 3's, 2 4's, 4 5's, 1 6.",16
"We have: 12 1's, 6 2's, 11 3's, 2 4's, 3 5's, 6 6's.","We have: 5 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's.",1
"We have: 13 1's, 1 2, 11 3's, 4 4's, 5 5's, 4 6's.","We have: 5 1's, 6 3's, 1 4, 3 5's, 3 6's.",14
"We have: 15 1's, 12 2's, 12 3's, 5 4's, 11 5's, 4 6's.","We have: 6 1's, 6 2's, 11 3's, 3 4's, 5 5's, 3 6's.",17
"We have: 16 1's, 16 2's, 6 3's, 13 4's, 5 5's, 12 6's.","We have: 11 1's, 14 2's, 4 3's, 12 4's, 3 5's, 5 6's.",2
"We have: 2 1's, 12 2's, 6 4's, 4 6's.","We have: 6 2's, 4 4's, 2 6's.",76
"We have: 2 1's, 12 2's, 4 3's, 6 4's, 4 6's.","We have: 6 2's, 3 3's, 3 4's, 2 6's.",17
"We have: 2 1's, 3 2's, 2 3's, 1 6.",We have no digits.,106
"We have: 2 1's, 3 2's, 2 3's, 1 5.",We have no digits.,19
"We have: 2 1's, 3 2's, 2 3's, 1 4.",We have no digits.,82
"We have: 2 1's, 5 2's, 2 5's, 1 6.",We have: 2 2's.,57
"We have: 2 1's, 5 2's, 1 4, 2 5's.",We have: 2 2's.,44
"We have: 2 1's, 5 2's, 1 3, 2 5's.",We have: 2 2's.,47
"We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 6.","We have: 3 2's, 3 3's.",60
"We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.","We have: 3 2's, 3 3's.",18
"We have: 21 1's, 12 2's, 12 3's, 5 4's, 11 5's, 4 6's.","We have: 12 1's, 5 2's, 11 3's, 3 4's, 6 5's, 3 6's.",12
"We have: 3 1's, 3 3's, 1 5, 1 6.",We have no digits.,93
"We have: 3 1's, 3 3's, 1 4, 1 6.",We have no digits.,30
"We have: 3 1's, 3 3's, 1 4, 1 5.",We have no digits.,75
"We have: 3 1's, 1 2, 3 3's, 1 6.",We have no digits.,46
"We have: 3 1's, 1 2, 3 3's, 1 5.",We have no digits.,40
"We have: 3 1's, 1 2, 3 3's, 1 4.",We have no digits.,53
