Source,Target,Type,ID,Label,timeset,Weight
We have: 2 2's.,We have no digits.,Directed,1,,,782
"We have: 3 2's, 3 3's.",We have: 2 2's.,Directed,2,,,186
"We have: 4 2's, 2 4's.",We have: 2 2's.,Directed,3,,,226
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",Directed,4,,,24
"We have: 5 2's, 5 3's, 5 4's, 5 5's.","We have: 4 2's, 4 3's, 4 4's.",Directed,5,,,16
"We have: 6 2's, 4 4's, 2 6's.","We have: 4 2's, 2 4's.",Directed,6,,,125
"We have: 6 2's, 3 3's, 3 4's, 2 6's.","We have: 4 2's, 2 4's.",Directed,7,,,18
"We have: 6 2's, 4 3's, 2 4's, 2 6's.","We have: 3 2's, 3 3's.",Directed,8,,,32
"We have: 6 2's, 6 3's, 5 4's, 2 5's, 3 6's.","We have: 4 2's, 4 3's, 4 4's.",Directed,9,,,7
"We have: 6 2's, 6 3's, 6 4's, 6 5's, 6 6's.","We have: 5 2's, 5 3's, 5 4's, 5 5's.",Directed,10,,,6
"We have: 11 1's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",Directed,11,,,1
"We have: 11 1's, 1 2, 1 3, 1 4, 1 5, 1 6.",We have no digits.,Directed,12,,,2
"We have: 11 1's, 11 2's, 2 3's, 1 4, 3 5's, 2 6's.","We have: 2 1's, 5 2's, 2 5's, 1 6.",Directed,13,,,1
"We have: 11 1's, 11 2's, 2 3's, 2 4's, 3 5's, 1 6.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,14,,,1
"We have: 11 1's, 14 2's, 11 4's, 2 5's, 5 6's.","We have: 2 1's, 12 2's, 6 4's, 4 6's.",Directed,15,,,2
"We have: 11 1's, 14 2's, 4 3's, 12 4's, 3 5's, 5 6's.","We have: 3 1's, 12 2's, 2 3's, 6 4's, 1 5, 4 6's.",Directed,16,,,12
"We have: 11 1's, 14 2's, 5 3's, 11 4's, 2 5's, 6 6's.","We have: 2 1's, 12 2's, 4 3's, 6 4's, 4 6's.",Directed,17,,,5
"We have: 11 1's, 2 2's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",Directed,18,,,10
"We have: 11 1's, 4 2's, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 3 2's, 5 3's, 2 4's, 4 5's, 1 6.",Directed,19,,,1
"We have: 11 1's, 4 2's, 6 3's, 6 4's, 6 5's, 5 6's.","We have: 5 1's, 3 2's, 5 3's, 4 4's, 4 5's, 1 6.",Directed,20,,,19
"We have: 12 1's, 12 2's, 5 3's, 11 4's, 4 5's, 6 6's.","We have: 4 1's, 6 2's, 4 3's, 6 4's, 2 5's, 4 6's.",Directed,21,,,1
"We have: 12 1's, 13 2's, 4 3's, 11 4's, 1 5, 6 6's.","We have: 3 1's, 11 2's, 2 3's, 6 4's, 4 6's.",Directed,22,,,4
"We have: 12 1's, 14 2's, 1 3, 11 4's, 1 5, 6 6's.","We have: 2 1's, 12 2's, 6 4's, 4 6's.",Directed,23,,,1
"We have: 12 1's, 3 2's, 11 3's, 4 4's, 4 5's, 4 6's.","We have: 5 1's, 1 2, 6 3's, 3 5's, 3 6's.",Directed,24,,,6
"We have: 12 1's, 5 2's, 11 3's, 3 4's, 5 5's, 4 6's.","We have: 5 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's.",Directed,25,,,1
"We have: 12 1's, 5 2's, 11 3's, 3 4's, 6 5's, 3 6's.","We have: 5 1's, 3 2's, 5 3's, 2 4's, 4 5's, 1 6.",Directed,26,,,16
"We have: 12 1's, 6 2's, 11 3's, 2 4's, 3 5's, 6 6's.","We have: 5 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's.",Directed,27,,,1
"We have: 13 1's, 1 2, 11 3's, 4 4's, 5 5's, 4 6's.","We have: 5 1's, 6 3's, 1 4, 3 5's, 3 6's.",Directed,28,,,14
"We have: 15 1's, 12 2's, 12 3's, 5 4's, 11 5's, 4 6's.","We have: 6 1's, 6 2's, 11 3's, 3 4's, 5 5's, 3 6's.",Directed,29,,,17
"We have: 16 1's, 16 2's, 6 3's, 13 4's, 5 5's, 12 6's.","We have: 11 1's, 14 2's, 4 3's, 12 4's, 3 5's, 5 6's.",Directed,30,,,2
"We have: 2 1's, 12 2's, 6 4's, 4 6's.","We have: 6 2's, 4 4's, 2 6's.",Directed,31,,,76
"We have: 2 1's, 12 2's, 4 3's, 6 4's, 4 6's.","We have: 6 2's, 3 3's, 3 4's, 2 6's.",Directed,32,,,17
"We have: 2 1's, 3 2's, 2 3's, 1 6.",We have no digits.,Directed,33,,,106
"We have: 2 1's, 3 2's, 2 3's, 1 5.",We have no digits.,Directed,34,,,19
"We have: 2 1's, 3 2's, 2 3's, 1 4.",We have no digits.,Directed,35,,,82
"We have: 2 1's, 5 2's, 2 5's, 1 6.",We have: 2 2's.,Directed,36,,,57
"We have: 2 1's, 5 2's, 1 4, 2 5's.",We have: 2 2's.,Directed,37,,,44
"We have: 2 1's, 5 2's, 1 3, 2 5's.",We have: 2 2's.,Directed,38,,,47
"We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 6.","We have: 3 2's, 3 3's.",Directed,39,,,60
"We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.","We have: 3 2's, 3 3's.",Directed,40,,,18
"We have: 21 1's, 12 2's, 12 3's, 5 4's, 11 5's, 4 6's.","We have: 12 1's, 5 2's, 11 3's, 3 4's, 6 5's, 3 6's.",Directed,41,,,12
"We have: 3 1's, 3 3's, 1 5, 1 6.",We have no digits.,Directed,42,,,93
"We have: 3 1's, 3 3's, 1 4, 1 6.",We have no digits.,Directed,43,,,30
"We have: 3 1's, 3 3's, 1 4, 1 5.",We have no digits.,Directed,44,,,75
"We have: 3 1's, 1 2, 3 3's, 1 6.",We have no digits.,Directed,45,,,46
"We have: 3 1's, 1 2, 3 3's, 1 5.",We have no digits.,Directed,46,,,40
"We have: 3 1's, 1 2, 3 3's, 1 4.",We have no digits.,Directed,47,,,53
"We have: 3 1's, 11 2's, 2 3's, 6 4's, 4 6's.","We have: 6 2's, 4 4's, 2 6's.",Directed,48,,,16
"We have: 3 1's, 12 2's, 12 3's, 6 4's, 3 5's, 6 6's.","We have: 6 2's, 6 3's, 5 4's, 2 5's, 3 6's.",Directed,49,,,1
"We have: 3 1's, 12 2's, 2 3's, 6 4's, 1 5, 4 6's.","We have: 6 2's, 4 4's, 2 6's.",Directed,50,,,21
"We have: 3 1's, 2 2's, 3 3's, 1 5, 1 6.",We have no digits.,Directed,51,,,32
"We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",We have no digits.,Directed,52,,,20
"We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",We have no digits.,Directed,53,,,29
"We have: 3 1's, 4 2's, 3 3's, 2 4's, 1 5, 1 6.",We have: 2 2's.,Directed,54,,,25
"We have: 3 1's, 5 2's, 2 3's, 1 4, 2 5's, 1 6.",We have: 2 2's.,Directed,55,,,23
"We have: 3 1's, 5 2's, 4 3's, 4 4's, 2 5's.","We have: 2 1's, 3 2's, 2 3's, 1 4.",Directed,56,,,34
"We have: 3 1's, 5 2's, 5 3's, 3 5's, 2 6's.","We have: 2 1's, 3 2's, 2 3's, 1 6.",Directed,57,,,105
"We have: 3 1's, 5 2's, 5 3's, 2 4's, 3 5's.","We have: 2 1's, 3 2's, 2 3's, 1 4.",Directed,58,,,46
"We have: 31 1's, 14 2's, 14 3's, 11 4's, 12 5's, 6 6's.","We have: 21 1's, 12 2's, 12 3's, 5 4's, 11 5's, 4 6's.",Directed,59,,,11
