Input,Output
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 2, 3, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 3, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 3, 2, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 0, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 0, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 1, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 1, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 3, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 0, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 0, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 0, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 3, 2, 3, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 2, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 2, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 3, 2, 3, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 2, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 2, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 11, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 6, 3, 3, 0, 2]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 6, 4, 2, 0, 2]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 4, 3, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 2, 1, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 4, 3, 2, 0, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 4, 3, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 3, 5, 2, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 4, 3, 2, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[1, 11, 2, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 2, 10, 0, 4, 0, 0]","[0, 0, 4, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3, 0]","[0, 0, 3, 3, 0, 0, 0]"
"[0, 3, 0, 3, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[0, 3, 0, 3, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
"[0, 4, 0, 6, 3, 0, 3]","[0, 3, 0, 3, 1, 0, 1]"
