Source,Target,Type,ID,Label,timeset,Weight
"We have: 1 0, 6 1's, 3 2's, 6 3's, 3 4's, 4 6's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",Directed,1594,,,7
"We have: 1 0, 6 1's, 3 2's, 6 3's, 3 4's, 4 6's, 1 7.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",Directed,1595,,,3
"We have: 1 0, 6 1's, 3 2's, 6 3's, 3 4's, 1 5, 4 6's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",Directed,1596,,,7
"We have: 1 0, 6 1's, 3 2's, 7 3's, 3 6's, 3 7's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 6, 1 7.",Directed,1597,,,8
"We have: 1 0, 6 1's, 3 2's, 7 3's, 1 5, 3 6's, 3 7's.","We have: 3 1's, 2 2's, 3 3's, 1 6, 1 7.",Directed,1598,,,17
"We have: 1 0, 6 1's, 3 2's, 7 3's, 1 4, 3 6's, 3 7's.","We have: 3 1's, 2 2's, 3 3's, 1 6, 1 7.",Directed,1599,,,7
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 6's, 1 7, 2 8's.","We have: 3 1's, 1 2, 3 3's, 1 8.",Directed,1600,,,3
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 6's, 2 7's, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 7.",Directed,1601,,,1
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 3 6's, 1 7, 1 8.","We have: 2 1's, 3 2's, 2 3's, 1 6.",Directed,1602,,,3
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 1 5, 2 6's, 2 8's.","We have: 3 1's, 1 2, 3 3's, 1 8.",Directed,1603,,,8
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 1 5, 2 6's, 2 7's.","We have: 3 1's, 1 2, 3 3's, 1 7.",Directed,1604,,,7
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 1 5, 2 6's, 2 7's, 2 8's.","We have: 3 1's, 3 3's, 1 7, 1 8.",Directed,1605,,,4
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 1 5, 3 6's, 1 8.","We have: 2 1's, 3 2's, 2 3's, 1 6.",Directed,1606,,,4
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 1 5, 3 6's, 1 7.","We have: 2 1's, 3 2's, 2 3's, 1 6.",Directed,1607,,,6
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 5's, 2 6's, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 5.",Directed,1608,,,16
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 5's, 2 6's, 1 7.","We have: 3 1's, 1 2, 3 3's, 1 5.",Directed,1609,,,11
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 5's, 2 6's, 1 7, 2 8's.","We have: 3 1's, 3 3's, 1 5, 1 8.",Directed,1610,,,6
"We have: 1 0, 6 1's, 4 2's, 4 3's, 4 4's, 2 5's, 2 6's, 2 7's, 1 8.","We have: 3 1's, 3 3's, 1 5, 1 7.",Directed,1611,,,3
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 2 5's, 3 6's, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 6.",Directed,1612,,,9
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 2 5's, 3 6's, 1 7.","We have: 3 1's, 1 2, 3 3's, 1 6.",Directed,1613,,,8
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 2 5's, 3 6's, 1 7, 2 8's.","We have: 3 1's, 3 3's, 1 6, 1 8.",Directed,1614,,,7
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 2 5's, 3 6's, 2 7's, 1 8.","We have: 3 1's, 3 3's, 1 6, 1 7.",Directed,1615,,,9
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 3 5's, 2 6's, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 5.",Directed,1616,,,4
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 3 5's, 2 6's, 1 7.","We have: 3 1's, 1 2, 3 3's, 1 5.",Directed,1617,,,1
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 3 5's, 2 6's, 1 7, 2 8's.","We have: 3 1's, 3 3's, 1 5, 1 8.",Directed,1618,,,1
"We have: 1 0, 6 1's, 4 2's, 5 3's, 2 4's, 3 5's, 2 6's, 2 7's, 1 8.","We have: 3 1's, 3 3's, 1 5, 1 7.",Directed,1619,,,5
"We have: 1 0, 6 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 6's, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 4.",Directed,1620,,,7
"We have: 1 0, 6 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 6's, 1 7.","We have: 3 1's, 1 2, 3 3's, 1 4.",Directed,1621,,,5
"We have: 1 0, 6 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 6's, 1 7, 2 8's.","We have: 3 1's, 3 3's, 1 4, 1 8.",Directed,1622,,,2
"We have: 1 0, 6 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 6's, 2 7's, 1 8.","We have: 3 1's, 3 3's, 1 4, 1 7.",Directed,1623,,,4
"We have: 1 0, 6 1's, 4 2's, 5 3's, 4 4's, 2 5's, 3 6's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",Directed,1624,,,9
"We have: 1 0, 6 1's, 4 2's, 5 3's, 4 4's, 2 5's, 3 6's, 1 7.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 6.",Directed,1625,,,5
"We have: 1 0, 6 1's, 4 2's, 5 3's, 4 4's, 3 5's, 2 6's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",Directed,1626,,,10
"We have: 1 0, 6 1's, 4 2's, 5 3's, 4 4's, 3 5's, 2 6's, 1 7.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",Directed,1627,,,9
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 3 6's, 1 7, 2 8's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 8.",Directed,1628,,,4
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 3 6's, 2 7's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 7.",Directed,1629,,,2
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 1 5, 3 6's, 2 8's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 8.",Directed,1630,,,8
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 1 5, 3 6's, 2 7's.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 7.",Directed,1631,,,10
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 2 5's, 3 6's, 1 8.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",Directed,1632,,,4
"We have: 1 0, 6 1's, 4 2's, 6 3's, 3 4's, 2 5's, 3 6's, 1 7.","We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",Directed,1633,,,4
"We have: 1 0, 6 1's, 4 2's, 7 3's, 6 4's, 6 6's, 4 7's.","We have: 4 1's, 3 2's, 6 3's, 3 4's, 2 6's, 2 7's.",Directed,1634,,,5
"We have: 1 0, 6 1's, 4 2's, 7 3's, 6 4's, 5 5's, 3 6's, 2 7's.","We have: 4 1's, 2 2's, 5 3's, 4 4's, 3 5's.",Directed,1635,,,6
"We have: 1 0, 6 1's, 4 2's, 7 3's, 7 4's, 4 5's, 2 6's, 3 7's.","We have: 4 1's, 2 2's, 5 3's, 4 4's, 3 5's.",Directed,1636,,,1
"We have: 1 0, 6 1's, 4 2's, 8 3's, 5 4's, 3 5's, 5 6's, 2 8's.","We have: 4 1's, 2 2's, 6 3's, 3 4's, 3 6's.",Directed,1637,,,4
"We have: 1 0, 6 1's, 4 2's, 8 3's, 5 4's, 3 5's, 5 6's, 4 8's.","We have: 4 1's, 3 2's, 6 3's, 2 4's, 3 6's, 2 8's.",Directed,1638,,,2
