Source_String,Target_String,weight
We have: 2 2's.,We have no digits.,328
"We have: 3 2's, 3 3's.",We have: 2 2's.,8
"We have: 4 2's, 2 4's.",We have: 2 2's.,222
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",1
"We have: 11 1's, 1 2, 1 3, 1 4.",We have no digits.,1
"We have: 12 1's, 14 2's, 11 4's.","We have: 2 1's, 12 2's, 4 4's.",8
"We have: 12 1's, 14 2's, 4 3's, 11 4's.","We have: 2 1's, 12 2's, 3 3's, 3 4's.",1
"We have: 2 1's, 12 2's, 4 4's.","We have: 4 2's, 2 4's.",61
"We have: 2 1's, 12 2's, 3 3's, 3 4's.","We have: 4 2's, 2 4's.",34
"We have: 2 1's, 12 2's, 4 3's, 2 4's.","We have: 3 2's, 3 3's.",6
"We have: 2 1's, 3 2's, 2 3's, 1 4.",We have no digits.,3
"We have: 3 1's, 1 2, 3 3's, 1 4.",We have no digits.,2
"We have: 3 1's, 11 2's, 2 3's, 4 4's.","We have: 4 2's, 2 4's.",1
"We have: 1 0, 11 1's, 1 3, 1 4.",We have no digits.,1
"We have: 1 0, 11 1's, 1 2, 1 4.",We have no digits.,4
"We have: 1 0, 11 1's, 1 2, 1 3.",We have no digits.,1
"We have: 1 0, 11 1's, 11 2's, 2 3's, 3 4's.","We have: 4 2's, 2 4's.",19
"We have: 1 0, 11 1's, 2 2's, 1 3, 1 4.",We have no digits.,2
"We have: 1 0, 13 1's, 14 2's, 2 3's, 11 4's.","We have: 2 1's, 12 2's, 4 4's.",50
"We have: 1 0, 13 1's, 3 2's, 11 3's, 2 4's.","We have: 3 1's, 1 2, 3 3's, 1 4.",1
"We have: 1 0, 2 1's, 3 2's, 2 3's.",We have no digits.,21
"We have: 1 0, 21 1's, 23 2's, 3 3's, 12 4's.","We have: 12 1's, 14 2's, 11 4's.",7
"We have: 1 0, 3 1's, 3 3's, 1 4.",We have no digits.,1
"We have: 1 0, 3 1's, 1 2, 3 3's.",We have no digits.,4
"We have: 1 0, 3 1's, 12 2's, 2 3's, 4 4's.","We have: 4 2's, 2 4's.",97
"We have: 1 0, 3 1's, 2 2's, 3 3's, 1 4.",We have no digits.,1
"We have: 10 0's, 20 1's, 13 2's, 4 3's, 10 4's.","We have: 1 0, 11 1's, 11 2's, 2 3's, 3 4's.",18
"We have: 10 0's, 20 1's, 14 2's, 2 3's, 11 4's.","We have: 2 0's, 10 1's, 11 2's, 1 3, 4 4's.",4
"We have: 10 0's, 21 1's, 13 2's, 12 3's, 3 4's.","We have: 3 0's, 11 1's, 10 2's, 4 3's, 2 4's.",18
"We have: 10 0's, 22 1's, 23 2's, 13 3's, 11 4's.","We have: 3 0's, 12 1's, 14 2's, 10 3's, 10 4's.",2
"We have: 10 0's, 22 1's, 24 2's, 11 3's, 12 4's.","We have: 3 0's, 12 1's, 14 2's, 10 3's, 10 4's.",20
"We have: 10 0's, 22 1's, 24 2's, 11 3's, 13 4's.","We have: 3 0's, 12 1's, 20 2's, 4 3's, 11 4's.",2
"We have: 10 0's, 23 1's, 22 2's, 13 3's, 13 4's.","We have: 3 0's, 14 1's, 13 2's, 4 3's, 12 4's.",1
"We have: 10 0's, 24 1's, 21 2's, 13 3's, 13 4's.","We have: 3 0's, 14 1's, 13 2's, 10 3's, 11 4's.",1
"We have: 10 0's, 24 1's, 22 2's, 11 3's, 14 4's.","We have: 3 0's, 14 1's, 13 2's, 10 3's, 11 4's.",75
"We have: 10 0's, 30 1's, 30 2's, 12 3's, 13 4's.","We have: 1 0, 21 1's, 23 2's, 3 3's, 12 4's.",2
"We have: 10 0's, 31 1's, 31 2's, 12 3's, 20 4's.","We have: 2 0's, 21 1's, 23 2's, 4 3's, 14 4's.",2
"We have: 10 0's, 32 1's, 42 2's, 21 3's, 23 4's.","We have: 3 0's, 24 1's, 32 2's, 13 3's, 21 4's.",43
"We have: 10 0's, 34 1's, 34 2's, 20 3's, 21 4's.","We have: 2 0's, 31 1's, 31 2's, 12 3's, 13 4's.",1
"We have: 100 0's, 101 1's, 100 2's, 100 3's, 43 4's.","We have: 32 0's, 40 1's, 44 2's, 43 3's, 41 4's.",1
"We have: 100 0's, 123 1's, 110 2's, 100 3's, 102 4's.","We have: 33 0's, 111 1's, 102 2's, 43 3's, 101 4's.",1
"We have: 100 0's, 123 1's, 112 2's, 43 3's, 102 4's.","We have: 41 0's, 112 1's, 103 2's, 40 3's, 100 4's.",1
"We have: 100 0's, 124 1's, 111 2's, 42 3's, 103 4's.","We have: 41 0's, 112 1's, 103 2's, 40 3's, 100 4's.",1
"We have: 100 0's, 133 1's, 103 2's, 104 3's, 44 4's.","We have: 40 0's, 123 1's, 102 2's, 100 3's, 40 4's.",1
"We have: 100 0's, 200 1's, 122 2's, 103 3's, 114 4's.","We have: 34 0's, 134 1's, 113 2's, 101 3's, 112 4's.",3
"We have: 100 0's, 214 1's, 130 2's, 113 3's, 121 4's.","We have: 41 0's, 201 1's, 122 2's, 110 3's, 114 4's.",1
"We have: 101 0's, 123 1's, 101 2's, 101 3's, 104 4's.","We have: 41 0's, 104 1's, 44 2's, 44 3's, 102 4's.",1
"We have: 101 0's, 134 1's, 100 2's, 110 3's, 111 4's.","We have: 41 0's, 114 1's, 44 2's, 103 3's, 104 4's.",2
"We have: 101 0's, 134 1's, 112 2's, 103 3's, 113 4's.","We have: 43 0's, 120 1's, 110 2's, 44 3's, 111 4's.",1
"We have: 101 0's, 141 1's, 112 2's, 101 3's, 113 4's.","We have: 43 0's, 120 1's, 110 2's, 44 3's, 111 4's.",1
"We have: 101 0's, 142 1's, 113 2's, 102 3's, 111 4's.","We have: 43 0's, 122 1's, 110 2's, 100 3's, 104 4's.",2
"We have: 101 0's, 143 1's, 111 2's, 103 3's, 111 4's.","We have: 43 0's, 122 1's, 110 2's, 100 3's, 104 4's.",1
"We have: 101 0's, 143 1's, 113 2's, 101 3's, 111 4's.","We have: 43 0's, 122 1's, 112 2's, 43 3's, 104 4's.",10
"We have: 101 0's, 144 1's, 123 2's, 110 3's, 124 4's.","We have: 43 0's, 131 1's, 120 2's, 103 3's, 120 4's.",19
"We have: 102 0's, 120 1's, 103 2's, 102 3's, 103 4's.","We have: 41 0's, 104 1's, 44 2's, 44 3's, 102 4's.",1
"We have: 102 0's, 134 1's, 120 2's, 103 3's, 110 4's.","We have: 42 0's, 122 1's, 112 2's, 100 3's, 103 4's.",1
"We have: 102 0's, 141 1's, 120 2's, 101 3's, 110 4's.","We have: 42 0's, 122 1's, 112 2's, 100 3's, 103 4's.",1
