Input,Output,SUM
"[111, 224, 142, 120, 140]","[103, 212, 132, 114, 131]",15
"[112, 230, 131, 111, 120]","[104, 211, 122, 103, 114]",8
"[112, 230, 133, 120, 124]","[104, 214, 123, 111, 122]",1
"[112, 231, 114, 113, 113]","[111, 211, 111, 104, 111]",18
"[112, 231, 122, 111, 112]","[111, 211, 111, 104, 111]",21
"[113, 224, 120, 113, 113]","[111, 211, 111, 104, 111]",13
"[113, 224, 133, 114, 130]","[111, 212, 130, 104, 122]",11
"[113, 230, 113, 114, 113]","[111, 211, 111, 104, 111]",1
"[113, 230, 114, 112, 114]","[111, 211, 111, 104, 111]",1
"[113, 230, 121, 112, 112]","[111, 211, 111, 104, 111]",1
"[113, 240, 201, 131, 142]","[110, 223, 142, 123, 134]",1
"[113, 241, 201, 123, 144]","[111, 224, 142, 120, 140]",14
"[114, 204, 113, 102, 110]","[110, 141, 110, 100, 102]",3
"[114, 210, 111, 103, 110]","[110, 140, 104, 101, 103]",1
"[114, 242, 134, 114, 130]","[112, 230, 131, 111, 120]",7
"[12, 23, 34, 22, 12]","[11, 20, 23, 14, 10]",1
"[12, 24, 23, 10, 13]","[10, 20, 14, 2, 11]",2
"[12, 30, 33, 22, 12]","[10, 22, 23, 13, 11]",1
"[12, 31, 22, 14, 10]","[10, 21, 13, 12, 3]",17
"[12, 31, 31, 23, 11]","[11, 20, 23, 14, 10]",1
"[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]",91
"[12, 33, 34, 21, 20]","[10, 30, 30, 12, 13]",1
"[12, 33, 42, 20, 22]","[10, 31, 31, 12, 20]",1
"[12, 34, 34, 32, 21]","[11, 31, 30, 23, 13]",1
"[12, 42, 41, 23, 21]","[11, 33, 31, 21, 13]",8
"[120, 202, 114, 102, 110]","[110, 140, 104, 101, 103]",1
"[120, 202, 121, 102, 103]","[110, 141, 110, 100, 102]",1
"[120, 243, 131, 114, 120]","[112, 231, 122, 111, 112]",20
"[121, 223, 123, 110, 111]","[114, 204, 113, 102, 110]",1
"[121, 234, 200, 122, 132]","[113, 224, 133, 114, 130]",10
"[121, 242, 130, 120, 120]","[112, 231, 114, 113, 113]",17
"[122, 220, 124, 104, 113]","[114, 204, 113, 102, 110]",1
"[122, 240, 131, 120, 120]","[113, 224, 120, 113, 113]",12
"[122, 302, 202, 122, 131]","[114, 242, 134, 114, 130]",6
"[122, 304, 141, 123, 123]","[120, 243, 131, 114, 120]",4
"[122, 304, 142, 121, 124]","[120, 243, 131, 114, 120]",14
"[123, 300, 212, 132, 200]","[113, 241, 201, 123, 144]",1
"[123, 301, 210, 133, 200]","[113, 241, 201, 123, 144]",2
"[123, 303, 133, 133, 121]","[121, 242, 130, 120, 120]",1
"[123, 303, 134, 131, 122]","[121, 242, 130, 120, 120]",9
"[123, 303, 140, 124, 123]","[120, 243, 131, 114, 120]",1
"[123, 310, 133, 131, 121]","[121, 242, 130, 120, 120]",1
"[123, 314, 211, 132, 134]","[122, 302, 202, 122, 131]",3
"[124, 301, 142, 122, 124]","[122, 240, 131, 120, 120]",10
"[124, 302, 134, 130, 123]","[121, 242, 130, 120, 120]",1
"[124, 302, 140, 123, 124]","[121, 242, 130, 120, 120]",1
"[124, 313, 210, 133, 134]","[122, 302, 202, 122, 131]",2
"[124, 314, 202, 124, 134]","[122, 304, 142, 121, 124]",6
"[13, 24, 33, 20, 20]","[10, 22, 24, 11, 13]",1
"[13, 30, 20, 13, 11]","[10, 20, 13, 4, 10]",14
"[13, 30, 30, 22, 20]","[4, 23, 21, 13, 14]",13
"[13, 30, 32, 20, 14]","[10, 22, 24, 11, 12]",1
"[13, 32, 31, 20, 20]","[10, 24, 22, 11, 14]",74
"[13, 33, 24, 20, 21]","[11, 30, 20, 11, 14]",1
"[13, 41, 31, 22, 12]","[12, 31, 22, 14, 10]",12
"[13, 42, 31, 32, 13]","[12, 33, 23, 22, 11]",2
"[13, 44, 102, 33, 42]","[11, 41, 44, 24, 33]",7
"[130, 243, 203, 133, 140]","[121, 234, 200, 122, 132]",9
"[130, 300, 210, 132, 200]","[113, 241, 201, 123, 144]",10
"[130, 301, 134, 124, 124]","[122, 240, 131, 120, 120]",1
"[130, 302, 134, 130, 122]","[121, 242, 130, 120, 120]",3
"[130, 320, 143, 134, 131]","[122, 304, 141, 123, 123]",3
"[131, 311, 212, 142, 143]","[130, 243, 203, 133, 140]",1
"[131, 312, 211, 141, 144]","[130, 243, 203, 133, 140]",3
"[131, 321, 141, 140, 130]","[123, 303, 134, 131, 122]",8
"[131, 321, 200, 131, 130]","[122, 304, 142, 121, 124]",7
"[131, 323, 220, 143, 142]","[124, 313, 210, 133, 134]",1
"[131, 324, 220, 140, 144]","[123, 314, 211, 132, 134]",1
"[131, 330, 220, 141, 142]","[123, 314, 211, 132, 134]",1
