Input,Output
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 2, 3, 2, 1]","[0, 0, 0, 0, 0]"
"[0, 3, 1, 3, 1]","[0, 0, 0, 0, 0]"
"[1, 2, 3, 2, 0]","[0, 0, 0, 0, 0]"
"[1, 3, 0, 3, 1]","[0, 0, 0, 0, 0]"
"[1, 3, 1, 3, 0]","[0, 0, 0, 0, 0]"
"[0, 11, 1, 1, 1]","[0, 0, 0, 0, 0]"
"[1, 11, 0, 1, 1]","[0, 0, 0, 0, 0]"
"[1, 11, 1, 0, 1]","[0, 0, 0, 0, 0]"
"[1, 11, 1, 1, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[2, 2, 10, 0, 0]","[0, 0, 2, 0, 0]"
"[1, 3, 2, 3, 1]","[0, 0, 0, 0, 0]"
"[1, 11, 2, 1, 1]","[0, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 0, 4, 4, 4]","[0, 0, 3, 3, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 3, 11, 2, 4]","[0, 0, 4, 0, 2]"
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
