"[210, 331, 323, 323]","[202, 322, 313, 310]","[133, 313, 302, 233]","[131, 310, 233, 213]","[123, 233, 230, 201]","[120, 230, 213, 130]","[110, 220, 203, 120]","[33, 210, 132, 112]","[31, 133, 122, 102]","[23, 122, 112, 32]","[22, 112, 100, 23]","[13, 102, 23, 21]","[11, 32, 13, 12]","[10, 21, 10, 3]","[1, 11, 2, 1]"
"[213, 331, 323, 320]","[211, 322, 313, 301]","[203, 311, 303, 230]","[133, 302, 300, 212]","[123, 233, 230, 201]","[120, 230, 213, 130]","[110, 220, 203, 120]","[33, 210, 132, 112]","[31, 133, 122, 102]","[23, 122, 112, 32]","[22, 112, 100, 23]","[13, 102, 23, 21]","[11, 32, 13, 12]","[10, 21, 10, 3]","[1, 11, 2, 1]"
"[221, 1012, 311, 303]","[212, 1000, 301, 233]","[201, 330, 231, 223]","[132, 321, 220, 212]","[130, 311, 201, 203]","[120, 300, 132, 133]","[110, 230, 123, 122]","[101, 213, 112, 113]","[33, 133, 103, 110]","[30, 122, 102, 32]","[21, 113, 31, 23]","[20, 102, 22, 13]","[11, 33, 11, 11]","[10, 20, 10, 2]","[0, 11, 1, 1]"
"[222, 1003, 320, 302]","[211, 1001, 302, 232]","[201, 330, 231, 223]","[132, 321, 220, 212]","[130, 311, 201, 203]","[120, 300, 132, 133]","[110, 230, 123, 122]","[101, 213, 112, 113]","[33, 133, 103, 110]","[30, 122, 102, 32]","[21, 113, 31, 23]","[20, 102, 22, 13]","[11, 33, 11, 11]","[10, 20, 10, 2]","[0, 11, 1, 1]"
"[222, 1010, 312, 303]","[212, 1000, 301, 233]","[201, 330, 231, 223]","[132, 321, 220, 212]","[130, 311, 201, 203]","[120, 300, 132, 133]","[110, 230, 123, 122]","[101, 213, 112, 113]","[33, 133, 103, 110]","[30, 122, 102, 32]","[21, 113, 31, 23]","[20, 102, 22, 13]","[11, 33, 11, 11]","[10, 20, 10, 2]","[0, 11, 1, 1]"
"[230, 1010, 303, 310]","[212, 1000, 301, 233]","[201, 330, 231, 223]","[132, 321, 220, 212]","[130, 311, 201, 203]","[120, 300, 132, 133]","[110, 230, 123, 122]","[101, 213, 112, 113]","[33, 133, 103, 110]","[30, 122, 102, 32]","[21, 113, 31, 23]","[20, 102, 22, 13]","[11, 33, 11, 11]","[10, 20, 10, 2]","[0, 11, 1, 1]"
