"[1222, 3012, 2131, 2002]","[1212, 3001, 2111, 1333]","[1203, 2321, 2101, 1322]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1223, 3002, 2130, 2012]","[1212, 2332, 2111, 2002]","[1203, 2320, 2031, 1333]","[1133, 2310, 2020, 1320]","[1122, 2233, 2003, 1303]","[1112, 2223, 1331, 1231]","[1111, 2203, 1313, 1220]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1230, 2332, 2132, 2013]","[1221, 2322, 2113, 2001]","[1212, 2310, 2033, 1332]","[1203, 2233, 2021, 1320]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1230, 3001, 2123, 2013]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1230, 3010, 2123, 2010]","[1212, 2333, 2112, 2000]","[1202, 2322, 2033, 1330]","[1132, 2313, 2020, 1312]","[1123, 2301, 2002, 1301]","[1112, 2223, 1331, 1231]","[1111, 2203, 1313, 1220]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1230, 3011, 2121, 2011]","[1220, 2331, 2110, 2002]","[1203, 2320, 2031, 1333]","[1133, 2310, 2020, 1320]","[1122, 2233, 2003, 1303]","[1112, 2223, 1331, 1231]","[1111, 2203, 1313, 1220]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1231, 3021, 2113, 2002]","[1221, 3003, 2101, 1332]","[1211, 2331, 2030, 1321]","[1202, 2312, 2013, 1310]","[1132, 2300, 2001, 1300]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1231, 3023, 2112, 2001]","[1221, 3011, 2100, 1331]","[1211, 2331, 2030, 1321]","[1202, 2312, 2013, 1310]","[1132, 2300, 2001, 1300]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1232, 2333, 2130, 2012]","[1223, 2323, 2111, 2000]","[1213, 2312, 2032, 1330]","[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
