"[131, 322, 321, 223]","[130, 312, 303, 212]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[131, 330, 311, 231]","[123, 312, 303, 213]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[132, 320, 322, 223]","[130, 312, 303, 212]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[132, 321, 320, 230]","[123, 312, 303, 213]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[200, 320, 313, 230]","[123, 312, 303, 213]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[200, 320, 322, 221]","[130, 312, 303, 212]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[200, 321, 320, 222]","[130, 313, 301, 213]","[121, 302, 233, 201]","[112, 232, 222, 131]","[111, 221, 203, 122]","[103, 203, 131, 120]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[201, 330, 311, 221]","[132, 313, 301, 211]","[130, 301, 232, 200]","[113, 232, 222, 130]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[202, 320, 313, 222]","[133, 312, 300, 212]","[130, 302, 230, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[202, 321, 320, 220]","[132, 313, 301, 211]","[130, 301, 232, 200]","[113, 232, 222, 130]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
