"[0, 2, 12, 7, 6, 5, 5, 2]","[0, 0, 6, 6, 5, 2, 3, 0]","[0, 0, 4, 4, 4, 0, 0, 0]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[0, 11, 4, 6, 6, 6, 5, 1]","[0, 5, 3, 5, 4, 4, 1, 0]","[0, 3, 2, 3, 1, 1, 0, 0]"
"[1, 6, 12, 4, 6, 2, 6, 2]","[0, 3, 6, 3, 4, 1, 2, 1]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 6, 12, 4, 7, 2, 3, 4]","[0, 3, 7, 2, 4, 1, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 6, 12, 6, 2, 5, 5, 2]","[0, 3, 6, 5, 1, 2, 2, 1]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 6, 12, 6, 4, 2, 5, 3]","[0, 3, 7, 4, 2, 0, 2, 2]","[0, 2, 3, 2, 0, 0, 1, 0]"
"[1, 7, 7, 11, 3, 3, 3, 4]","[0, 3, 6, 5, 1, 2, 2, 1]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 7, 11, 7, 3, 2, 3, 5]","[0, 3, 7, 4, 2, 0, 2, 2]","[0, 2, 3, 2, 0, 0, 1, 0]"
"[1, 11, 4, 6, 6, 5, 5, 1]","[0, 4, 3, 5, 4, 2, 2, 0]","[0, 3, 0, 3, 1, 0, 1, 0]"
"[1, 11, 4, 6, 6, 6, 5, 0]","[0, 5, 3, 5, 4, 4, 1, 0]","[0, 3, 2, 3, 1, 1, 0, 0]"
"[1, 11, 4, 7, 5, 6, 2, 3]","[0, 5, 2, 5, 3, 4, 0, 1]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[1, 11, 4, 7, 5, 6, 3, 2]","[0, 5, 2, 5, 3, 4, 1, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[1, 11, 5, 6, 5, 6, 4, 1]","[0, 4, 4, 5, 3, 3, 1, 0]","[0, 2, 3, 2, 0, 1, 0, 0]"
"[1, 11, 5, 7, 2, 6, 5, 2]","[0, 5, 2, 6, 1, 3, 3, 0]","[0, 3, 0, 3, 0, 1, 1, 0]"
"[1, 11, 5, 7, 4, 5, 4, 2]","[0, 5, 3, 6, 1, 2, 3, 0]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[1, 11, 5, 7, 4, 6, 2, 3]","[0, 5, 3, 5, 2, 4, 0, 1]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[1, 11, 5, 7, 4, 6, 3, 2]","[0, 5, 3, 5, 2, 4, 1, 0]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[1, 11, 6, 7, 2, 5, 5, 2]","[0, 5, 3, 6, 1, 2, 3, 0]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[2, 5, 12, 5, 5, 5, 3, 2]","[1, 3, 6, 3, 4, 0, 2, 1]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 5, 12, 5, 6, 3, 4, 2]","[1, 3, 6, 3, 4, 0, 2, 1]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 5, 12, 6, 4, 4, 4, 2]","[1, 3, 6, 5, 0, 2, 2, 1]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 5, 12, 6, 5, 3, 3, 3]","[1, 3, 7, 2, 4, 0, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 5, 12, 7, 4, 4, 3, 2]","[1, 3, 6, 5, 1, 2, 2, 0]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
