"[0, 16, 16, 2, 14, 6, 4, 7]","[0, 12, 14, 1, 11, 5, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[0, 16, 16, 3, 12, 6, 6, 6]","[0, 12, 14, 1, 11, 5, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 15, 15, 5, 14, 11, 5, 1]","[0, 5, 14, 4, 12, 4, 4, 0]","[0, 2, 12, 3, 5, 2, 3, 0]","[0, 0, 6, 0, 4, 0, 2, 0]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 16, 14, 5, 5, 12, 6, 6]","[0, 11, 12, 4, 3, 7, 2, 5]","[0, 5, 7, 2, 1, 5, 1, 3]","[0, 2, 5, 0, 0, 2, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 16, 14, 6, 5, 12, 6, 5]","[0, 11, 12, 5, 3, 7, 2, 4]","[0, 5, 7, 3, 1, 5, 1, 2]","[0, 2, 5, 1, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 16, 15, 3, 14, 6, 3, 7]","[0, 11, 14, 0, 12, 4, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 16, 16, 2, 13, 6, 5, 6]","[0, 11, 14, 0, 12, 4, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 11, 12, 14, 14, 4, 6, 4]","[1, 3, 7, 13, 7, 3, 4, 3]","[0, 0, 6, 6, 5, 2, 3, 0]","[0, 0, 4, 4, 4, 0, 0, 0]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 15, 13, 6, 10, 7, 6, 6]","[0, 11, 11, 4, 7, 5, 2, 4]","[0, 4, 7, 3, 4, 3, 1, 2]","[0, 2, 5, 0, 1, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 15, 17, 1, 14, 2, 6, 10]","[0, 7, 14, 0, 12, 0, 4, 6]","[0, 4, 12, 0, 7, 0, 2, 4]","[0, 2, 7, 0, 4, 0, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 15, 20, 1, 14, 6, 2, 7]","[0, 11, 14, 0, 12, 4, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 16, 12, 12, 4, 6, 7, 6]","[1, 12, 6, 11, 2, 5, 3, 4]","[0, 5, 3, 7, 0, 3, 1, 3]","[0, 3, 2, 3, 0, 1, 0, 1]"
"[2, 16, 12, 12, 4, 7, 5, 7]","[1, 12, 6, 11, 2, 5, 3, 4]","[0, 5, 3, 7, 0, 3, 1, 3]","[0, 3, 2, 3, 0, 1, 0, 1]"
"[2, 16, 12, 12, 5, 7, 4, 7]","[1, 12, 6, 11, 3, 5, 2, 4]","[0, 5, 3, 7, 1, 3, 0, 3]","[0, 3, 2, 3, 0, 1, 0, 1]"
"[2, 16, 16, 0, 14, 6, 4, 7]","[1, 12, 14, 0, 11, 5, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 16, 16, 1, 14, 1, 7, 10]","[0, 7, 14, 0, 12, 0, 4, 6]","[0, 4, 12, 0, 7, 0, 2, 4]","[0, 2, 7, 0, 4, 0, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 17, 11, 12, 4, 5, 7, 7]","[1, 12, 6, 11, 2, 3, 6, 3]","[0, 5, 3, 6, 1, 2, 3, 2]","[0, 3, 0, 3, 0, 0, 1, 1]"
"[2, 17, 11, 12, 4, 6, 6, 7]","[1, 12, 6, 11, 2, 5, 3, 4]","[0, 5, 3, 7, 0, 3, 1, 3]","[0, 3, 2, 3, 0, 1, 0, 1]"
"[2, 17, 11, 12, 5, 7, 4, 7]","[1, 12, 6, 11, 3, 5, 3, 3]","[0, 5, 4, 5, 2, 3, 1, 2]","[0, 3, 1, 3, 0, 0, 0, 1]"
"[3, 13, 6, 13, 6, 7, 10, 7]","[1, 7, 5, 7, 5, 6, 5, 4]","[0, 5, 4, 6, 3, 2, 3, 1]","[0, 3, 2, 3, 1, 0, 1, 0]"
"[3, 13, 7, 12, 6, 7, 7, 10]","[1, 7, 5, 7, 5, 6, 5, 4]","[0, 5, 4, 6, 3, 2, 3, 1]","[0, 3, 2, 3, 1, 0, 1, 0]"
"[3, 14, 6, 11, 7, 7, 7, 10]","[1, 7, 5, 7, 5, 6, 5, 4]","[0, 5, 4, 6, 3, 2, 3, 1]","[0, 3, 2, 3, 1, 0, 1, 0]"
"[3, 14, 13, 6, 10, 10, 4, 7]","[0, 7, 12, 3, 5, 7, 2, 5]","[0, 5, 7, 1, 4, 4, 1, 2]","[0, 2, 5, 0, 1, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 14, 13, 7, 7, 10, 3, 10]","[0, 7, 12, 3, 5, 7, 2, 5]","[0, 5, 7, 1, 4, 4, 1, 2]","[0, 2, 5, 0, 1, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 15, 6, 11, 6, 7, 11, 6]","[2, 7, 5, 7, 5, 5, 5, 4]","[1, 6, 3, 6, 3, 0, 4, 1]","[0, 3, 2, 3, 1, 0, 1, 0]"
"[3, 15, 7, 11, 4, 7, 7, 11]","[2, 7, 6, 7, 2, 5, 6, 5]","[1, 6, 3, 6, 1, 2, 3, 2]","[0, 3, 0, 3, 0, 1, 0, 1]"
"[3, 15, 7, 13, 5, 12, 5, 5]","[2, 11, 5, 10, 4, 5, 4, 3]","[0, 5, 3, 6, 1, 2, 3, 2]","[0, 3, 0, 3, 0, 0, 1, 1]"
"[3, 16, 6, 13, 6, 6, 11, 4]","[2, 11, 5, 10, 4, 5, 4, 3]","[0, 5, 3, 6, 1, 2, 3, 2]","[0, 3, 0, 3, 0, 0, 1, 1]"
"[3, 16, 6, 15, 5, 6, 10, 4]","[1, 12, 5, 13, 3, 3, 4, 3]","[0, 6, 3, 6, 1, 1, 3, 2]","[0, 3, 1, 3, 0, 0, 0, 1]"
"[3, 16, 7, 12, 5, 11, 6, 5]","[2, 11, 5, 10, 4, 6, 3, 3]","[0, 5, 3, 5, 2, 4, 1, 2]","[0, 3, 0, 3, 0, 1, 0, 1]"
