"[11110101, 100111011]","[11101111, 100101110]","[11101001, 100100001]","[11011111, 100011000]","[11010111, 100001101]","[11001111, 100000010]","[11000101, 11111001]","[10111110, 11101110]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11110110, 100111010]","[11101111, 100101110]","[11101001, 100100001]","[11011111, 100011000]","[11010111, 100001101]","[11001111, 100000010]","[11000101, 11111001]","[10111110, 11101110]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11110111, 100111001]","[11110001, 100101100]","[11101000, 100100010]","[11011101, 100011010]","[11010101, 100001111]","[11001101, 100000100]","[11000010, 11111100]","[10111010, 11110010]","[10110011, 11100111]","[10101101, 11011011]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11111000, 100111000]","[11101111, 100101110]","[11101001, 100100001]","[11011111, 100011000]","[11010111, 100001101]","[11001111, 100000010]","[11000101, 11111001]","[10111110, 11101110]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11111011, 100110101]","[11110101, 100101000]","[11101100, 100011110]","[11100100, 100010011]","[11011010, 100001010]","[11010000, 100000001]","[11000011, 11111011]","[10111101, 11101111]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[100000100, 100101100]","[11110111, 100100101]","[11110000, 100011001]","[11100110, 100010000]","[11011011, 100001000]","[11010001, 11111111]","[11001100, 11110010]","[11000100, 11101000]","[10111010, 11100000]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
