"[4, 24, 25, 13, 15, 6, 12]","[3, 20, 21, 11, 12, 3, 10]","[0, 11, 14, 5, 11, 2, 6]","[0, 2, 12, 4, 6, 0, 4]","[0, 0, 6, 3, 3, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[5, 23, 22, 16, 13, 13, 10]","[3, 15, 15, 12, 12, 11, 5]","[2, 5, 12, 10, 11, 4, 4]","[0, 0, 6, 6, 5, 2, 3]","[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 25, 22, 12, 6, 15, 13]","[5, 21, 14, 10, 5, 12, 10]","[2, 12, 11, 6, 3, 6, 6]","[1, 5, 5, 4, 2, 5, 2]","[0, 3, 2, 3, 0, 1, 1]"
"[6, 26, 16, 13, 6, 13, 16]","[5, 21, 14, 10, 5, 12, 10]","[2, 12, 11, 6, 3, 6, 6]","[1, 5, 5, 4, 2, 5, 2]","[0, 3, 2, 3, 0, 1, 1]"
"[6, 26, 23, 14, 10, 11, 12]","[4, 20, 16, 12, 5, 10, 6]","[1, 13, 13, 11, 3, 5, 3]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 31, 22, 14, 10, 11, 11]","[4, 20, 16, 12, 5, 10, 6]","[1, 13, 13, 11, 3, 5, 3]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[10, 32, 21, 14, 10, 13, 5]","[4, 23, 15, 11, 5, 11, 4]","[3, 14, 13, 6, 2, 5, 3]","[2, 11, 11, 2, 0, 3, 1]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 31, 22, 14, 10, 11, 6]","[6, 20, 16, 12, 5, 10, 4]","[3, 13, 13, 11, 3, 5, 1]","[2, 4, 12, 3, 2, 3, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 32, 21, 11, 11, 14, 5]","[10, 20, 15, 6, 6, 12, 4]","[4, 13, 12, 5, 4, 10, 1]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 26, 22, 14, 12, 6, 10]","[10, 21, 13, 13, 10, 5, 4]","[4, 12, 11, 10, 5, 3, 3]","[2, 4, 6, 4, 3, 1, 2]","[1, 2, 3, 2, 0, 0, 0]"
"[12, 30, 22, 11, 11, 14, 5]","[10, 20, 15, 6, 6, 12, 4]","[4, 13, 12, 5, 4, 10, 1]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 31, 21, 11, 10, 15, 5]","[10, 20, 15, 6, 6, 12, 4]","[4, 13, 12, 5, 4, 10, 1]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 31, 22, 11, 10, 12, 10]","[6, 20, 14, 6, 6, 11, 6]","[4, 13, 12, 5, 4, 10, 1]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[13, 30, 21, 12, 10, 12, 10]","[6, 20, 14, 6, 6, 11, 6]","[4, 13, 12, 5, 4, 10, 1]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[13, 31, 14, 15, 10, 12, 10]","[10, 20, 12, 12, 5, 10, 6]","[3, 12, 5, 11, 4, 5, 4]","[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[13, 31, 20, 11, 10, 16, 4]","[10, 21, 15, 5, 5, 15, 2]","[5, 13, 12, 4, 4, 10, 1]","[3, 5, 10, 2, 1, 5, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[13, 33, 12, 15, 10, 11, 11]","[11, 21, 10, 11, 6, 6, 10]","[5, 10, 5, 10, 5, 5, 4]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[14, 30, 16, 10, 10, 16, 6]","[10, 21, 15, 5, 5, 15, 2]","[5, 13, 12, 4, 4, 10, 1]","[3, 5, 10, 2, 1, 5, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[14, 30, 20, 10, 11, 16, 4]","[10, 21, 15, 5, 5, 15, 2]","[5, 13, 12, 4, 4, 10, 1]","[3, 5, 10, 2, 1, 5, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
