"[3, 23, 24, 12, 16, 6, 14]","[2, 16, 20, 6, 13, 5, 11]","[0, 11, 14, 4, 12, 3, 5]","[0, 3, 12, 2, 6, 1, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[4, 32, 23, 11, 11, 12, 11]","[3, 21, 16, 5, 6, 11, 10]","[1, 12, 14, 3, 5, 6, 4]","[0, 5, 12, 1, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 23, 22, 10, 16, 6, 15]","[4, 16, 15, 5, 15, 4, 11]","[3, 10, 14, 4, 12, 0, 6]","[1, 3, 12, 2, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 23, 24, 12, 13, 13, 10]","[4, 15, 20, 5, 11, 12, 5]","[2, 10, 14, 4, 6, 5, 4]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 24, 23, 11, 14, 13, 10]","[4, 15, 20, 5, 11, 12, 5]","[2, 10, 14, 4, 6, 5, 4]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 26, 24, 13, 5, 12, 12]","[5, 22, 16, 11, 3, 10, 6]","[3, 14, 13, 6, 2, 5, 3]","[2, 11, 11, 2, 0, 3, 1]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 30, 23, 11, 10, 12, 12]","[3, 21, 16, 5, 6, 11, 10]","[1, 12, 14, 3, 5, 6, 4]","[0, 5, 12, 1, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[10, 25, 23, 10, 14, 14, 5]","[4, 20, 20, 5, 11, 11, 4]","[1, 12, 14, 4, 5, 6, 3]","[0, 5, 12, 2, 2, 4, 1]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[10, 32, 16, 12, 12, 12, 10]","[4, 22, 11, 10, 11, 11, 5]","[2, 11, 5, 6, 6, 6, 4]","[1, 5, 3, 5, 4, 4, 0]","[0, 3, 2, 3, 1, 1, 0]"
"[10, 34, 12, 15, 11, 11, 11]","[5, 21, 10, 13, 6, 6, 10]","[2, 13, 5, 11, 5, 4, 4]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[11, 30, 12, 14, 13, 10, 14]","[5, 16, 10, 11, 10, 6, 13]","[2, 6, 6, 6, 6, 4, 10]","[0, 4, 4, 5, 4, 3, 2]","[0, 3, 2, 3, 0, 1, 1]"
"[11, 31, 14, 16, 12, 4, 13]","[10, 20, 12, 13, 6, 3, 11]","[4, 11, 6, 10, 5, 2, 6]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[11, 32, 13, 16, 6, 11, 12]","[10, 21, 10, 13, 5, 10, 6]","[3, 12, 5, 11, 4, 5, 4]","[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[11, 32, 13, 16, 10, 10, 12]","[5, 21, 10, 13, 6, 6, 10]","[2, 13, 5, 11, 5, 4, 4]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[12, 26, 14, 13, 12, 10, 14]","[10, 16, 10, 11, 6, 6, 12]","[4, 6, 5, 10, 5, 5, 5]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[12, 30, 14, 15, 10, 13, 10]","[5, 20, 12, 12, 5, 11, 6]","[3, 12, 5, 11, 4, 5, 4]","[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[12, 30, 14, 16, 10, 10, 12]","[5, 20, 11, 14, 5, 6, 10]","[2, 12, 6, 13, 3, 3, 5]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[12, 30, 14, 16, 11, 5, 13]","[10, 20, 12, 13, 6, 3, 11]","[4, 11, 6, 10, 5, 2, 6]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[12, 31, 14, 15, 10, 12, 10]","[6, 20, 11, 13, 5, 10, 6]","[3, 12, 6, 11, 4, 5, 3]","[2, 5, 4, 5, 2, 3, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[12, 31, 20, 12, 6, 11, 12]","[10, 21, 12, 10, 5, 10, 10]","[2, 11, 6, 6, 4, 5, 6]","[1, 5, 4, 5, 2, 3, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[13, 30, 12, 15, 10, 11, 13]","[10, 16, 10, 11, 6, 6, 12]","[4, 6, 5, 10, 5, 5, 5]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
