"[3, 20, 22, 7, 16, 12, 7, 4]","[1, 15, 15, 5, 14, 11, 5, 1]","[0, 5, 14, 4, 12, 4, 4, 0]","[0, 2, 12, 3, 5, 2, 3, 0]","[0, 0, 6, 0, 4, 0, 2, 0]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 21, 24, 4, 17, 7, 3, 12]","[2, 15, 20, 1, 14, 6, 2, 7]","[0, 11, 14, 0, 12, 4, 0, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 22, 17, 11, 7, 11, 7, 13]","[2, 13, 14, 6, 6, 10, 6, 7]","[0, 7, 12, 4, 4, 7, 2, 5]","[0, 5, 7, 3, 1, 5, 1, 2]","[0, 2, 5, 1, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[3, 23, 14, 12, 7, 12, 12, 10]","[1, 15, 7, 7, 5, 11, 11, 6]","[0, 6, 6, 6, 4, 6, 7, 3]","[0, 5, 5, 4, 2, 5, 2, 1]","[0, 3, 2, 3, 0, 1, 1, 0]"
"[3, 24, 12, 16, 7, 7, 11, 11]","[2, 15, 7, 14, 5, 6, 7, 6]","[1, 12, 5, 13, 3, 3, 4, 3]","[0, 6, 3, 6, 1, 1, 3, 2]","[0, 3, 1, 3, 0, 0, 0, 1]"
"[3, 24, 13, 13, 11, 7, 14, 6]","[2, 16, 11, 7, 6, 6, 12, 4]","[1, 11, 6, 6, 4, 5, 6, 2]","[0, 5, 4, 5, 2, 3, 2, 1]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[3, 24, 14, 11, 12, 7, 14, 6]","[2, 16, 11, 7, 6, 6, 12, 4]","[1, 11, 6, 6, 4, 5, 6, 2]","[0, 5, 4, 5, 2, 3, 2, 1]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[3, 24, 14, 12, 11, 7, 13, 7]","[2, 16, 11, 7, 6, 6, 12, 4]","[1, 11, 6, 6, 4, 5, 6, 2]","[0, 5, 4, 5, 2, 3, 2, 1]","[0, 3, 1, 3, 0, 0, 1, 0]"
"[3, 24, 16, 11, 10, 14, 5, 10]","[0, 15, 14, 7, 5, 12, 3, 7]","[0, 11, 12, 5, 3, 7, 2, 4]","[0, 5, 7, 3, 1, 5, 1, 2]","[0, 2, 5, 1, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[4, 21, 16, 13, 13, 10, 11, 5]","[2, 11, 14, 10, 11, 6, 7, 4]","[0, 2, 12, 7, 6, 5, 5, 2]","[0, 0, 6, 6, 5, 2, 3, 0]","[0, 0, 4, 4, 4, 0, 0, 0]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[4, 22, 13, 15, 12, 14, 4, 7]","[3, 15, 7, 13, 6, 12, 3, 5]","[2, 11, 5, 7, 5, 7, 1, 3]","[1, 5, 3, 5, 4, 4, 0, 0]","[0, 3, 2, 3, 1, 1, 0, 0]"
"[4, 22, 13, 16, 7, 10, 7, 12]","[2, 15, 7, 14, 5, 7, 5, 7]","[1, 12, 5, 13, 3, 3, 4, 3]","[0, 6, 3, 6, 1, 1, 3, 2]","[0, 3, 1, 3, 0, 0, 0, 1]"
"[4, 23, 12, 15, 11, 14, 6, 6]","[3, 15, 7, 13, 6, 12, 3, 5]","[2, 11, 5, 7, 5, 7, 1, 3]","[1, 5, 3, 5, 4, 4, 0, 0]","[0, 3, 2, 3, 1, 1, 0, 0]"
"[4, 23, 12, 15, 11, 15, 4, 7]","[3, 15, 7, 13, 6, 12, 3, 5]","[2, 11, 5, 7, 5, 7, 1, 3]","[1, 5, 3, 5, 4, 4, 0, 0]","[0, 3, 2, 3, 1, 1, 0, 0]"
