"[3, 45, 23, 23, 16, 20, 13]","[1, 42, 16, 15, 14, 15, 11]","[0, 31, 14, 14, 11, 12, 6]","[0, 21, 12, 12, 5, 11, 4]","[0, 12, 5, 11, 3, 6, 3]","[0, 5, 3, 5, 2, 4, 1]","[0, 3, 1, 3, 0, 1, 0]"
"[3, 46, 23, 21, 20, 16, 14]","[1, 42, 16, 15, 14, 15, 11]","[0, 31, 14, 14, 11, 12, 6]","[0, 21, 12, 12, 5, 11, 4]","[0, 12, 5, 11, 3, 6, 3]","[0, 5, 3, 5, 2, 4, 1]","[0, 3, 1, 3, 0, 1, 0]"
"[4, 44, 24, 21, 24, 14, 12]","[3, 40, 16, 20, 14, 13, 11]","[0, 31, 14, 14, 11, 12, 6]","[0, 21, 12, 12, 5, 11, 4]","[0, 12, 5, 11, 3, 6, 3]","[0, 5, 3, 5, 2, 4, 1]","[0, 3, 1, 3, 0, 1, 0]"
"[10, 41, 26, 22, 15, 20, 12]","[4, 33, 20, 21, 13, 15, 10]","[1, 25, 14, 14, 11, 13, 6]","[0, 15, 12, 12, 5, 11, 4]","[0, 6, 6, 11, 3, 5, 3]","[0, 3, 5, 5, 2, 3, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[11, 44, 22, 16, 22, 15, 13]","[10, 35, 14, 14, 16, 13, 11]","[5, 24, 13, 11, 13, 11, 6]","[4, 14, 11, 5, 11, 6, 4]","[3, 5, 10, 4, 4, 4, 2]","[1, 3, 5, 2, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 46, 16, 15, 21, 16, 15]","[10, 35, 14, 14, 16, 13, 11]","[5, 24, 13, 11, 13, 11, 6]","[4, 14, 11, 5, 11, 6, 4]","[3, 5, 10, 4, 4, 4, 2]","[1, 3, 5, 2, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 43, 13, 23, 21, 15, 16]","[11, 34, 6, 16, 16, 13, 14]","[10, 24, 5, 13, 13, 12, 10]","[4, 15, 2, 10, 11, 10, 6]","[1, 6, 0, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[12, 43, 14, 21, 22, 15, 16]","[11, 34, 6, 16, 16, 13, 14]","[10, 24, 5, 13, 13, 12, 10]","[4, 15, 2, 10, 11, 10, 6]","[1, 6, 0, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[12, 43, 23, 20, 21, 15, 12]","[10, 35, 14, 14, 16, 13, 11]","[5, 24, 13, 11, 13, 11, 6]","[4, 14, 11, 5, 11, 6, 4]","[3, 5, 10, 4, 4, 4, 2]","[1, 3, 5, 2, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 44, 13, 21, 21, 16, 16]","[11, 34, 6, 16, 15, 15, 13]","[10, 24, 5, 13, 13, 12, 10]","[4, 15, 2, 10, 11, 10, 6]","[1, 6, 0, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[13, 40, 25, 23, 6, 21, 15]","[11, 33, 21, 20, 4, 15, 13]","[6, 24, 15, 13, 2, 13, 12]","[5, 16, 11, 10, 0, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[13, 42, 13, 23, 20, 16, 16]","[11, 34, 6, 16, 15, 15, 13]","[10, 24, 5, 13, 13, 12, 10]","[4, 15, 2, 10, 11, 10, 6]","[1, 6, 0, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[13, 44, 12, 16, 24, 14, 20]","[11, 36, 5, 14, 16, 13, 15]","[10, 26, 4, 11, 14, 10, 12]","[4, 16, 1, 10, 11, 6, 10]","[1, 6, 0, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
