"[0, 12, 13, 4, 11, 1, 6]","[0, 3, 11, 2, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 12, 13, 4, 11, 0, 6]","[0, 3, 11, 2, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 11, 6, 10, 5, 4, 6]","[0, 4, 4, 6, 3, 2, 3]","[0, 3, 2, 3, 0, 1, 1]"
"[2, 11, 12, 5, 6, 4, 4]","[1, 4, 6, 4, 3, 2, 2]","[0, 2, 3, 2, 0, 1, 0]"
"[2, 11, 15, 1, 10, 2, 6]","[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 12, 6, 11, 3, 5, 5]","[1, 5, 3, 6, 2, 2, 3]","[0, 3, 0, 3, 1, 0, 1]"
"[2, 12, 6, 11, 4, 3, 6]","[1, 5, 3, 6, 2, 2, 3]","[0, 3, 0, 3, 1, 0, 1]"
"[2, 12, 6, 13, 3, 3, 5]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[2, 13, 5, 11, 4, 5, 4]","[1, 6, 3, 6, 1, 2, 3]","[0, 3, 1, 3, 0, 1, 0]"
"[2, 13, 5, 11, 5, 4, 4]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[2, 13, 6, 11, 2, 5, 5]","[1, 6, 3, 6, 1, 2, 3]","[0, 3, 1, 3, 0, 1, 0]"
"[2, 13, 6, 11, 4, 2, 6]","[1, 6, 3, 6, 2, 1, 3]","[0, 3, 1, 3, 1, 0, 0]"
"[3, 6, 12, 6, 6, 4, 4]","[2, 4, 10, 4, 3, 3, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 11, 5, 13, 5, 3, 4]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[3, 11, 10, 6, 5, 5, 4]","[1, 4, 6, 4, 3, 2, 2]","[0, 2, 3, 2, 0, 1, 0]"
"[3, 12, 5, 11, 4, 5, 4]","[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[3, 12, 5, 11, 4, 6, 3]","[2, 5, 3, 5, 2, 4, 1]","[1, 3, 0, 3, 0, 1, 0]"
"[3, 12, 5, 13, 4, 3, 4]","[2, 6, 3, 6, 1, 1, 3]","[1, 3, 1, 3, 0, 0, 0]"
"[3, 12, 6, 11, 2, 5, 5]","[2, 5, 3, 6, 1, 2, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[3, 12, 6, 11, 4, 5, 3]","[2, 5, 4, 5, 2, 3, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[3, 12, 6, 13, 2, 3, 5]","[2, 6, 3, 6, 1, 1, 3]","[1, 3, 1, 3, 0, 0, 0]"
"[4, 10, 10, 5, 6, 5, 4]","[1, 4, 6, 4, 3, 2, 2]","[0, 2, 3, 2, 0, 1, 0]"
"[4, 11, 5, 6, 10, 4, 4]","[2, 4, 4, 5, 3, 2, 2]","[1, 3, 0, 3, 0, 0, 1]"
"[4, 11, 6, 10, 5, 2, 6]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[4, 12, 5, 10, 5, 4, 4]","[2, 6, 3, 6, 1, 1, 3]","[1, 3, 1, 3, 0, 0, 0]"
"[4, 12, 6, 10, 4, 2, 6]","[2, 6, 3, 6, 1, 1, 3]","[1, 3, 1, 3, 0, 0, 0]"
"[4, 13, 11, 5, 4, 10, 0]","[2, 5, 10, 3, 1, 5, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[5, 10, 5, 10, 5, 5, 4]","[2, 4, 4, 6, 3, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[5, 10, 10, 5, 6, 4, 4]","[2, 4, 6, 4, 3, 1, 2]","[1, 2, 3, 2, 0, 0, 0]"
"[5, 13, 11, 4, 4, 10, 0]","[3, 5, 10, 2, 1, 5, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
