"[0, 31, 14, 14, 11, 12, 6]","[0, 21, 12, 12, 5, 11, 4]","[0, 12, 5, 11, 3, 6, 3]","[0, 5, 3, 5, 2, 4, 1]","[0, 3, 1, 3, 0, 1, 0]"
"[5, 23, 6, 15, 12, 14, 10]","[3, 15, 3, 13, 10, 11, 5]","[1, 6, 2, 6, 6, 5, 4]","[0, 4, 0, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[5, 23, 13, 12, 13, 14, 5]","[4, 15, 10, 5, 11, 11, 4]","[2, 5, 6, 4, 5, 5, 3]","[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[5, 23, 13, 13, 12, 13, 6]","[4, 15, 10, 5, 11, 11, 4]","[2, 5, 6, 4, 5, 5, 3]","[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 22, 15, 6, 14, 12, 10]","[4, 14, 11, 5, 12, 10, 4]","[2, 5, 6, 4, 5, 5, 3]","[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 24, 15, 13, 2, 13, 12]","[5, 16, 11, 10, 0, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[6, 24, 16, 12, 2, 12, 13]","[5, 16, 11, 10, 0, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[6, 25, 15, 11, 2, 14, 12]","[5, 16, 11, 10, 0, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
