"[4, 34, 15, 22, 13, 15, 14]","[3, 26, 12, 16, 6, 12, 13]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[4, 34, 16, 22, 12, 13, 16]","[3, 26, 12, 16, 6, 12, 13]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[4, 35, 14, 21, 14, 15, 14]","[3, 26, 12, 16, 6, 12, 13]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[4, 36, 13, 24, 13, 13, 14]","[3, 31, 11, 16, 6, 12, 12]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[4, 36, 14, 22, 14, 13, 14]","[3, 31, 11, 16, 6, 12, 12]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[5, 33, 20, 22, 12, 14, 14]","[3, 26, 12, 16, 6, 12, 13]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[5, 40, 13, 23, 11, 15, 13]","[3, 31, 11, 16, 6, 12, 12]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[5, 40, 14, 21, 12, 15, 13]","[3, 31, 11, 16, 6, 12, 12]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[6, 41, 11, 16, 12, 16, 15]","[5, 30, 6, 15, 10, 14, 11]","[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[10, 35, 13, 22, 13, 14, 13]","[5, 26, 10, 14, 11, 12, 12]","[3, 16, 3, 13, 6, 10, 10]","[0, 11, 2, 6, 5, 6, 4]","[0, 5, 0, 5, 3, 4, 1]","[0, 3, 0, 3, 1, 1, 0]"
"[10, 35, 16, 16, 12, 14, 14]","[5, 25, 14, 14, 6, 12, 11]","[4, 16, 11, 13, 3, 6, 6]","[3, 11, 10, 10, 1, 5, 2]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[10, 36, 12, 16, 14, 14, 15]","[5, 26, 10, 14, 11, 12, 12]","[3, 16, 3, 13, 6, 10, 10]","[0, 11, 2, 6, 5, 6, 4]","[0, 5, 0, 5, 3, 4, 1]","[0, 3, 0, 3, 1, 1, 0]"
"[10, 36, 15, 16, 11, 15, 14]","[5, 25, 14, 14, 6, 12, 11]","[4, 16, 11, 13, 3, 6, 6]","[3, 11, 10, 10, 1, 5, 2]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 33, 23, 22, 3, 15, 13]","[10, 25, 16, 13, 2, 13, 12]","[5, 16, 12, 10, 1, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[11, 34, 22, 14, 15, 12, 12]","[10, 24, 14, 12, 12, 10, 11]","[4, 13, 10, 11, 6, 6, 10]","[1, 4, 6, 6, 4, 5, 4]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 34, 22, 15, 5, 16, 14]","[10, 25, 16, 13, 2, 13, 12]","[5, 16, 12, 10, 1, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[11, 35, 15, 16, 14, 13, 13]","[10, 24, 14, 12, 12, 10, 11]","[4, 13, 10, 11, 6, 6, 10]","[1, 4, 6, 6, 4, 5, 4]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 35, 16, 20, 10, 15, 13]","[5, 25, 14, 14, 6, 12, 11]","[4, 16, 11, 13, 3, 6, 6]","[3, 11, 10, 10, 1, 5, 2]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[11, 35, 21, 14, 10, 15, 14]","[6, 24, 16, 12, 4, 12, 13]","[5, 16, 12, 10, 1, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[11, 35, 21, 16, 3, 16, 15]","[10, 25, 16, 13, 2, 13, 12]","[5, 16, 12, 10, 1, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[11, 35, 23, 14, 6, 14, 14]","[10, 26, 21, 11, 2, 12, 12]","[5, 16, 12, 10, 1, 11, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[12, 32, 26, 14, 14, 12, 10]","[10, 23, 21, 12, 11, 11, 5]","[5, 12, 14, 10, 10, 6, 4]","[2, 4, 12, 6, 4, 4, 2]","[1, 2, 5, 5, 0, 3, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 32, 26, 15, 12, 13, 10]","[10, 23, 21, 12, 11, 11, 5]","[5, 12, 14, 10, 10, 6, 4]","[2, 4, 12, 6, 4, 4, 2]","[1, 2, 5, 5, 0, 3, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 36, 21, 13, 14, 12, 12]","[11, 26, 13, 10, 12, 11, 10]","[5, 14, 10, 5, 11, 10, 5]","[2, 5, 6, 4, 6, 3, 4]","[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 41, 14, 15, 16, 4, 15]","[11, 31, 12, 14, 12, 1, 13]","[10, 16, 6, 11, 10, 0, 12]","[4, 6, 4, 10, 6, 0, 6]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[12, 41, 14, 16, 15, 3, 16]","[11, 31, 12, 14, 12, 1, 13]","[10, 16, 6, 11, 10, 0, 12]","[4, 6, 4, 10, 6, 0, 6]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[13, 36, 14, 20, 15, 4, 15]","[11, 31, 12, 14, 12, 1, 13]","[10, 16, 6, 11, 10, 0, 12]","[4, 6, 4, 10, 6, 0, 6]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[13, 40, 15, 12, 15, 14, 11]","[11, 26, 13, 10, 12, 11, 10]","[5, 14, 10, 5, 11, 10, 5]","[2, 5, 6, 4, 6, 3, 4]","[1, 4, 4, 2, 3, 1, 1]","[0, 0, 2, 0, 0, 0, 0]"
