"[11, 36, 35, 16, 23, 6, 21]","[10, 31, 32, 12, 22, 4, 14]","[5, 23, 24, 6, 16, 3, 13]","[4, 20, 21, 2, 14, 1, 10]","[1, 12, 14, 1, 11, 0, 6]","[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[12, 44, 23, 23, 13, 15, 21]","[11, 36, 15, 16, 10, 13, 20]","[5, 26, 13, 13, 6, 11, 14]","[4, 20, 11, 10, 4, 6, 11]","[1, 11, 6, 6, 1, 5, 6]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[13, 40, 25, 21, 16, 20, 16]","[10, 32, 21, 16, 14, 15, 13]","[5, 22, 15, 13, 12, 13, 11]","[4, 12, 11, 10, 11, 10, 10]","[0, 0, 6, 6, 6, 6, 6]","[0, 0, 5, 5, 5, 5, 0]","[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[14, 34, 25, 23, 22, 22, 11]","[13, 30, 15, 20, 16, 20, 10]","[5, 22, 12, 14, 15, 15, 5]","[4, 14, 5, 13, 13, 10, 4]","[2, 6, 4, 10, 6, 5, 3]","[0, 4, 2, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[14, 34, 26, 22, 22, 21, 12]","[13, 30, 15, 20, 16, 20, 10]","[5, 22, 12, 14, 15, 15, 5]","[4, 14, 5, 13, 13, 10, 4]","[2, 6, 4, 10, 6, 5, 3]","[0, 4, 2, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[14, 45, 24, 20, 20, 14, 14]","[11, 41, 20, 16, 11, 12, 13]","[6, 26, 14, 14, 6, 11, 11]","[5, 16, 12, 13, 3, 10, 4]","[3, 11, 10, 10, 1, 5, 2]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[15, 44, 23, 21, 12, 16, 20]","[13, 36, 15, 16, 6, 14, 15]","[12, 30, 14, 13, 4, 11, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[15, 45, 24, 20, 11, 21, 15]","[13, 36, 20, 16, 5, 14, 14]","[11, 31, 15, 13, 2, 12, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[15, 45, 25, 16, 10, 22, 15]","[13, 40, 21, 15, 5, 14, 13]","[11, 31, 16, 12, 2, 11, 12]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[15, 46, 24, 16, 11, 16, 20]","[13, 40, 21, 15, 5, 14, 13]","[11, 31, 16, 12, 2, 11, 12]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[15, 50, 23, 14, 16, 16, 14]","[13, 41, 21, 12, 13, 13, 11]","[12, 26, 15, 5, 11, 12, 10]","[10, 16, 11, 4, 10, 6, 5]","[4, 10, 10, 3, 5, 4, 2]","[1, 4, 5, 1, 2, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[16, 42, 24, 23, 13, 14, 16]","[15, 34, 20, 20, 6, 13, 13]","[12, 30, 14, 13, 4, 11, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[16, 45, 23, 20, 11, 16, 20]","[13, 40, 16, 15, 6, 14, 14]","[11, 31, 15, 13, 2, 12, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[20, 42, 26, 21, 12, 14, 16]","[15, 34, 20, 20, 6, 13, 13]","[12, 30, 14, 13, 4, 11, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[20, 43, 25, 21, 10, 20, 15]","[13, 36, 20, 16, 5, 14, 14]","[11, 31, 15, 13, 2, 12, 11]","[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
