Input,Output,SUM
"[0, 0, 2, 0]","[0, 0, 0, 0]",2076
"[0, 0, 3, 3]","[0, 0, 2, 0]",10
"[0, 11, 1, 1]","[0, 0, 0, 0]",42
"[1, 11, 0, 1]","[0, 0, 0, 0]",1
"[1, 11, 1, 0]","[0, 0, 0, 0]",1
"[1, 11, 2, 1]","[0, 0, 0, 0]",110
"[1, 2, 3, 2]","[0, 0, 0, 0]",4
"[1, 3, 1, 3]","[0, 0, 0, 0]",1
"[10, 20, 10, 2]","[0, 11, 1, 1]",39
"[10, 20, 12, 2]","[1, 11, 2, 1]",17
"[10, 21, 10, 3]","[1, 11, 2, 1]",90
"[100, 130, 31, 100]","[22, 113, 30, 31]",1
"[1000, 1103, 1030, 1013]","[320, 1030, 1023, 1003]",1
"[1000, 1123, 1022, 1033]","[322, 1111, 1012, 1023]",10
"[1000, 1131, 1021, 1032]","[322, 1111, 1012, 1023]",6
"[1000, 1231, 1111, 1023]","[323, 1210, 1102, 1020]",563
"[1001, 1130, 1020, 1033]","[322, 1111, 1012, 1023]",1
"[1001, 1311, 1113, 1103]","[331, 1222, 1112, 1033]",1
"[1002, 1112, 1031, 1002]","[330, 1032, 1021, 1000]",1
"[1002, 1122, 1103, 1022]","[331, 1103, 1031, 1020]",1
"[1002, 1123, 1101, 1023]","[331, 1103, 1031, 1020]",9
"[1002, 1200, 1100, 1020]","[321, 1122, 1030, 1013]",6
"[1002, 1223, 1103, 1031]","[331, 1210, 1033, 1021]",774
"[1002, 1230, 1110, 1023]","[330, 1211, 1100, 1020]",10
"[1002, 1310, 1121, 1101]","[331, 1222, 1112, 1033]",1
"[1002, 1311, 1113, 1102]","[332, 1223, 1110, 1033]",1
"[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]",274
"[1003, 1212, 1013, 1113]","[333, 1131, 1010, 1103]",3
"[1003, 1221, 1110, 1031]","[332, 1200, 1101, 1022]",130
"[1003, 1222, 1111, 1023]","[333, 1202, 1100, 1020]",166
"[1003, 1230, 1101, 1031]","[331, 1210, 1033, 1021]",2
"[1003, 1310, 1112, 1103]","[332, 1223, 1110, 1033]",5
"[101, 120, 102, 32]","[31, 103, 32, 30]",1
"[101, 120, 33, 100]","[30, 103, 31, 31]",2
"[101, 121, 100, 33]","[31, 103, 32, 30]",1
"[101, 133, 101, 112]","[32, 113, 33, 103]",1
"[101, 201, 102, 110]","[30, 122, 33, 103]",4
"[101, 201, 110, 100]","[23, 122, 102, 33]",2
"[101, 201, 112, 110]","[31, 121, 103, 103]",1
"[101, 201, 121, 101]","[31, 121, 112, 100]",1
"[101, 212, 131, 113]","[33, 132, 122, 110]",3
"[101, 213, 111, 122]","[33, 133, 101, 120]",10
"[101, 213, 112, 113]","[33, 133, 103, 110]",18
"[101, 213, 121, 110]","[32, 133, 112, 102]",1
"[101, 231, 123, 123]","[33, 213, 113, 113]",1
"[1010, 1221, 1110, 1030]","[332, 1200, 1101, 1022]",1
"[1010, 1230, 1101, 1030]","[331, 1210, 1033, 1021]",1
"[1010, 1312, 1121, 1032]","[1000, 1231, 1111, 1023]",562
"[1011, 1203, 1032, 1102]","[1000, 1123, 1022, 1033]",9
"[1011, 1222, 1112, 1021]","[1002, 1200, 1100, 1020]",3
"[1011, 1332, 1122, 1113]","[1003, 1310, 1112, 1103]",4
"[1011, 2013, 1132, 1131]","[1002, 1331, 1123, 1121]",38
"[1012, 1203, 1112, 1032]","[1002, 1123, 1101, 1023]",1
"[1012, 1232, 1031, 1122]","[1003, 1212, 1013, 1113]",1
"[1012, 1311, 1120, 1032]","[1002, 1230, 1110, 1023]",8
"[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]",104
"[1013, 1210, 1110, 1032]","[1002, 1123, 1101, 1023]",6
"[1013, 1220, 1110, 1023]","[1002, 1200, 1100, 1020]",1
"[1013, 1303, 1112, 1101]","[1003, 1221, 1110, 1031]",128
"[1013, 1311, 1111, 1100]","[1003, 1221, 1110, 1031]",1
"[1013, 1312, 1103, 1101]","[1003, 1230, 1101, 1031]",1
"[1013, 1333, 1123, 1110]","[1010, 1312, 1121, 1032]",542
"[102, 120, 103, 31]","[32, 103, 100, 22]",1
"[102, 201, 102, 103]","[31, 130, 32, 101]",1
"[102, 210, 123, 122]","[33, 133, 111, 120]",2
"[102, 210, 132, 113]","[33, 132, 122, 110]",2014
"[102, 212, 120, 111]","[33, 133, 103, 110]",1
"[102, 223, 130, 123]","[33, 213, 113, 113]",1
"[1020, 1210, 1030, 1100]","[1000, 1131, 1021, 1032]",5
"[1020, 1210, 1110, 1031]","[1002, 1123, 1101, 1023]",1
"[1020, 1213, 1103, 1030]","[1002, 1200, 1100, 1020]",1
"[1020, 1231, 1030, 1122]","[1003, 1212, 1013, 1113]",1
"[1020, 1301, 1122, 1032]","[1003, 1222, 1111, 1023]",165
"[1020, 1302, 1120, 1033]","[1002, 1230, 1110, 1023]",1
"[1020, 1303, 1112, 1100]","[1002, 1223, 1103, 1031]",773
"[1020, 1332, 1131, 1102]","[1010, 1312, 1121, 1032]",19
"[1020, 2002, 1202, 1123]","[1002, 1331, 1123, 1121]",22
"[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]",109
"[1021, 1231, 1102, 1110]","[1011, 1203, 1032, 1102]",8
"[1021, 1303, 1121, 1031]","[1011, 1222, 1112, 1021]",2
"[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]",103
"[1022, 1331, 1130, 1102]","[1012, 1311, 1120, 1032]",7
"[1023, 1230, 1113, 1103]","[1013, 1210, 1110, 1032]",1
"[1023, 1231, 1033, 1111]","[1020, 1210, 1030, 1100]",4
"[1023, 1231, 1120, 1101]","[1013, 1210, 1110, 1032]",3
"[1023, 1321, 1132, 1103]","[1020, 1301, 1122, 1032]",1
"[1023, 1331, 1121, 1110]","[1020, 1303, 1112, 1100]",762
"[1023, 2003, 1200, 1122]","[1011, 1332, 1122, 1113]",3
"[1023, 2012, 1202, 1112]","[1013, 1333, 1123, 1110]",46
"[1023, 2021, 1221, 1132]","[1020, 2002, 1202, 1123]",18
"[1023, 2022, 1213, 1133]","[1020, 2010, 1201, 1122]",1
"[1023, 2030, 1203, 1201]","[1011, 2013, 1132, 1131]",37
"[103, 203, 131, 120]","[33, 132, 122, 110]",29
"[103, 211, 103, 130]","[33, 133, 101, 120]",1
"[103, 220, 203, 121]","[33, 210, 132, 112]",2
"[103, 221, 111, 113]","[101, 201, 102, 110]",3
"[103, 223, 122, 133]","[101, 213, 111, 122]",7
"[103, 231, 121, 132]","[101, 213, 111, 122]",2
"[1030, 1230, 1113, 1102]","[1013, 1210, 1110, 1032]",1
"[1030, 1321, 1132, 1102]","[1020, 1301, 1122, 1032]",163
"[1030, 1323, 1122, 1110]","[1020, 1303, 1112, 1100]",2
"[1030, 1330, 1120, 1111]","[1013, 1303, 1112, 1101]",127
"[1030, 2012, 1133, 1120]","[1013, 1333, 1123, 1110]",495
"[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]",106
"[1030, 2023, 1211, 1133]","[1020, 2010, 1201, 1122]",1
"[1031, 1313, 1110, 1120]","[1021, 1231, 1102, 1110]",7
"[1031, 1313, 1123, 1112]","[1023, 1231, 1120, 1101]",2
"[1031, 1323, 1130, 1102]","[1021, 1303, 1121, 1031]",1
"[1031, 1330, 1120, 1110]","[1020, 1303, 1112, 1100]",8
"[1031, 2012, 1133, 1113]","[1022, 1331, 1130, 1102]",1
"[1031, 2012, 1202, 1110]","[1020, 1332, 1131, 1102]",16
"[1031, 2013, 1200, 1111]","[1020, 1332, 1131, 1102]",2
"[1031, 2020, 1220, 1132]","[1020, 2002, 1202, 1123]",3
"[1032, 1312, 1103, 1121]","[1023, 1231, 1033, 1111]",1
"[1032, 2031, 1213, 1123]","[1023, 2012, 1202, 1112]",2
"[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]",102
"[1033, 1333, 1131, 1132]","[1031, 1313, 1123, 1112]",1
"[1033, 2003, 1133, 1120]","[1022, 1331, 1130, 1102]",5
"[1033, 2023, 1220, 1123]","[1023, 2012, 1202, 1112]",43
"[1033, 2033, 1231, 1210]","[1023, 2021, 1221, 1132]",2
"[1033, 2102, 1222, 1210]","[1023, 2030, 1203, 1201]",5
"[1033, 2103, 1220, 1211]","[1023, 2030, 1203, 1201]",1
"[11, 20, 20, 2]","[2, 11, 10, 1]",2064
"[11, 23, 13, 20]","[3, 13, 10, 11]",1
"[11, 31, 30, 22]","[3, 21, 21, 13]",7
"[11, 32, 13, 12]","[10, 21, 10, 3]",60
"[11, 33, 11, 11]","[10, 20, 10, 2]",38
"[11, 33, 11, 13]","[10, 21, 10, 3]",28
"[110, 220, 203, 120]","[33, 210, 132, 112]",51
"[110, 230, 123, 122]","[101, 213, 112, 113]",17
"[110, 231, 201, 121]","[101, 212, 131, 113]",2
"[1100, 1313, 1101, 1120]","[1023, 1231, 1033, 1111]",2
"[1100, 2011, 1132, 1112]","[1030, 1323, 1122, 1110]",1
"[1100, 2012, 1130, 1113]","[1023, 1331, 1121, 1110]",761
"[1100, 2022, 1212, 1130]","[1023, 2003, 1200, 1122]",1
"[1100, 2023, 1210, 1131]","[1023, 2003, 1200, 1122]",1
"[1100, 2032, 1211, 1122]","[1030, 2012, 1133, 1120]",1
"[1100, 2032, 1233, 1202]","[1023, 2021, 1221, 1132]",2
"[1100, 2033, 1231, 1203]","[1023, 2021, 1221, 1132]",12
"[1100, 2102, 1222, 1203]","[1023, 2030, 1203, 1201]",1
"[1100, 2110, 1221, 1202]","[1023, 2030, 1203, 1201]",29
"[1101, 2001, 1113, 1123]","[1031, 1313, 1110, 1120]",1
"[1101, 2012, 1130, 1112]","[1031, 1330, 1120, 1110]",7
"[1101, 2032, 1220, 1112]","[1031, 2012, 1202, 1110]",15
"[1101, 2033, 1231, 1202]","[1031, 2020, 1220, 1132]",2
"[1101, 2100, 1232, 1200]","[1023, 2021, 1221, 1132]",1
"[1101, 2112, 1230, 1132]","[1032, 2031, 1213, 1123]",1
"[1102, 2000, 1121, 1121]","[1031, 1313, 1110, 1120]",5
"[1102, 2003, 1130, 1120]","[1030, 1330, 1120, 1111]",126
"[1102, 2022, 1213, 1122]","[1033, 2003, 1133, 1120]",3
"[1102, 2023, 1211, 1123]","[1033, 2003, 1133, 1120]",1
"[1102, 2030, 1203, 1130]","[1030, 2012, 1133, 1120]",493
"[1102, 2100, 1210, 1113]","[1031, 2013, 1200, 1111]",1
"[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]",105
"[1102, 2102, 1232, 1133]","[1033, 2023, 1220, 1123]",32
"[1102, 2110, 1231, 1132]","[1033, 2023, 1220, 1123]",10
"[1102, 2122, 1301, 1212]","[1033, 2102, 1222, 1210]",4
"[1102, 2123, 1233, 1213]","[1100, 2110, 1221, 1202]",2
"[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]",101
"[1103, 2000, 1202, 1110]","[1030, 1321, 1132, 1102]",162
"[1103, 2032, 1133, 1131]","[1100, 2012, 1130, 1113]",1
"[1103, 2112, 1303, 1213]","[1100, 2032, 1233, 1202]",1
"[1103, 2113, 1231, 1122]","[1101, 2032, 1220, 1112]",14
"[1103, 2113, 1301, 1220]","[1033, 2033, 1231, 1210]",1
"[1103, 2130, 1231, 1213]","[1100, 2110, 1221, 1202]",26
"[111, 201, 101, 101]","[101, 120, 33, 100]",1
"[111, 220, 120, 101]","[101, 201, 110, 100]",1
"[111, 221, 203, 122]","[103, 203, 131, 120]",28
"[111, 222, 210, 120]","[102, 210, 132, 113]",2013
"[111, 232, 221, 123]","[110, 220, 203, 120]",1
"[111, 301, 113, 123]","[103, 221, 111, 113]",1
"[111, 311, 131, 132]","[110, 230, 123, 122]",1
"[1110, 2002, 1111, 1121]","[1100, 1313, 1101, 1120]",1
"[1110, 2032, 1133, 1130]","[1100, 2012, 1130, 1113]",2
"[1110, 2032, 1202, 1121]","[1100, 2012, 1130, 1113]",757
"[1110, 2101, 1133, 1121]","[1101, 2012, 1130, 1112]",2
"[1110, 2111, 1223, 1131]","[1102, 2022, 1213, 1122]",2
"[1110, 2112, 1221, 1132]","[1102, 2030, 1203, 1130]",492
"[1110, 2120, 1302, 1211]","[1100, 2033, 1231, 1203]",11
"[1111, 2022, 1131, 1130]","[1102, 2000, 1121, 1121]",2
"[1111, 2022, 1213, 1113]","[1103, 2000, 1202, 1110]",6
"[1111, 2023, 1202, 1123]","[1102, 2003, 1130, 1120]",4
"[1111, 2031, 1201, 1122]","[1102, 2003, 1130, 1120]",121
"[1111, 2032, 1202, 1120]","[1101, 2012, 1130, 1112]",3
"[1111, 2033, 1200, 1121]","[1101, 2012, 1130, 1112]",1
"[1111, 2120, 1302, 1210]","[1101, 2033, 1231, 1202]",1
"[1111, 2121, 1221, 1122]","[1110, 2032, 1202, 1121]",756
"[1111, 2122, 1301, 1203]","[1102, 2101, 1230, 1200]",2
"[1111, 2122, 1303, 1203]","[1102, 2102, 1232, 1133]",31
"[1111, 2132, 1301, 1201]","[1102, 2110, 1231, 1132]",7
"[1111, 2203, 1310, 1223]","[1102, 2123, 1233, 1213]",1
"[1111, 2203, 1313, 1220]","[1102, 2123, 1302, 1210]",39
"[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]",61
"[1111, 2211, 1303, 1222]","[1103, 2130, 1231, 1213]",2
"[1112, 2020, 1132, 1130]","[1102, 2000, 1121, 1121]",2
"[1112, 2113, 1222, 1122]","[1111, 2032, 1202, 1120]",1
"[1112, 2120, 1211, 1132]","[1110, 2032, 1133, 1130]",1
"[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]",102
"[1112, 2121, 1221, 1121]","[1111, 2032, 1202, 1120]",1
"[1112, 2130, 1302, 1201]","[1102, 2110, 1231, 1132]",2
"[1112, 2201, 1301, 1131]","[1103, 2113, 1231, 1122]",13
"[1112, 2201, 1320, 1220]","[1102, 2122, 1301, 1212]",3
"[1112, 2203, 1310, 1222]","[1103, 2130, 1231, 1213]",22
"[1112, 2211, 1321, 1211]","[1111, 2122, 1303, 1203]",1
"[1112, 2223, 1331, 1231]","[1111, 2203, 1313, 1220]",31
"[1112, 2231, 1321, 1233]","[1111, 2211, 1303, 1222]",1
"[1113, 2020, 1220, 1112]","[1103, 2000, 1202, 1110]",3
"[1113, 2102, 1232, 1122]","[1111, 2022, 1213, 1113]",4
"[1113, 2113, 1210, 1133]","[1111, 2031, 1201, 1122]",119
"[1113, 2120, 1211, 1131]","[1111, 2031, 1201, 1122]",1
"[1113, 2122, 1210, 1130]","[1110, 2101, 1133, 1121]",1
"[1113, 2130, 1233, 1203]","[1110, 2111, 1223, 1131]",1
"[1113, 2200, 1313, 1221]","[1110, 2120, 1302, 1211]",10
"[1113, 2201, 1232, 1133]","[1111, 2121, 1221, 1122]",755
"[1113, 2202, 1321, 1213]","[1111, 2122, 1303, 1203]",29
"[1113, 2203, 1301, 1230]","[1103, 2130, 1231, 1213]",1
"[1113, 2210, 1311, 1213]","[1111, 2122, 1301, 1203]",1
"[1113, 2212, 1313, 1211]","[1112, 2130, 1302, 1201]",1
"[1113, 2221, 1332, 1231]","[1112, 2201, 1320, 1220]",2
"[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]",55
"[112, 221, 200, 130]","[102, 210, 123, 122]",1
"[112, 230, 222, 123]","[110, 220, 203, 120]",4
"[112, 231, 220, 130]","[103, 220, 203, 121]",1
"[112, 232, 222, 131]","[111, 221, 203, 122]",27
"[112, 300, 121, 121]","[103, 221, 111, 113]",1
"[112, 301, 131, 203]","[103, 223, 122, 133]",1
"[112, 302, 132, 201]","[103, 231, 121, 132]",1
"[1120, 2020, 1220, 1111]","[1103, 2000, 1202, 1110]",152
"[1120, 2102, 1232, 1121]","[1111, 2022, 1213, 1113]",1
"[1120, 2110, 1213, 1132]","[1111, 2023, 1202, 1123]",3
"[1120, 2130, 1233, 1202]","[1110, 2112, 1221, 1132]",491
"[1120, 2212, 1313, 1210]","[1111, 2132, 1301, 1201]",6
"[1120, 2221, 1323, 1233]","[1112, 2203, 1310, 1222]",21
"[1120, 2221, 1332, 1230]","[1111, 2203, 1313, 1220]",4
"[1121, 2033, 1232, 1123]","[1113, 2020, 1220, 1112]",1
"[1121, 2122, 1303, 1133]","[1113, 2102, 1232, 1122]",3
"[1121, 2132, 1223, 1203]","[1113, 2113, 1210, 1133]",118
