"[144, 341, 224, 210, 204]","[141, 332, 214, 203, 143]","[134, 322, 210, 143, 134]","[132, 312, 201, 133, 130]","[124, 301, 142, 122, 124]","[122, 240, 131, 120, 120]","[113, 224, 120, 113, 113]","[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]","[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[200, 342, 232, 200, 204]","[134, 341, 220, 142, 201]","[131, 331, 210, 134, 142]","[124, 314, 202, 124, 134]","[122, 304, 142, 121, 124]","[120, 243, 131, 114, 120]","[112, 231, 122, 111, 112]","[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]","[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[200, 343, 230, 201, 204]","[134, 341, 220, 142, 201]","[131, 331, 210, 134, 142]","[124, 314, 202, 124, 134]","[122, 304, 142, 121, 124]","[120, 243, 131, 114, 120]","[112, 231, 122, 111, 112]","[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]","[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[202, 340, 230, 211, 200]","[141, 332, 214, 203, 143]","[134, 322, 210, 143, 134]","[132, 312, 201, 133, 130]","[124, 301, 142, 122, 124]","[122, 240, 131, 120, 120]","[113, 224, 120, 113, 113]","[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]","[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[203, 342, 223, 204, 201]","[144, 340, 211, 200, 143]","[140, 330, 203, 142, 133]","[131, 321, 200, 131, 130]","[122, 304, 142, 121, 124]","[120, 243, 131, 114, 120]","[112, 231, 122, 111, 112]","[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]","[30, 104, 43, 40, 31]","[21, 101, 42, 31, 22]","[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
