"[42, 115, 110, 53, 44, 52]","[40, 110, 103, 51, 40, 44]","[31, 101, 102, 45, 31, 42]","[24, 51, 55, 42, 24, 40]","[22, 45, 51, 41, 15, 32]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[42, 120, 111, 52, 44, 51]","[40, 110, 103, 51, 40, 44]","[31, 101, 102, 45, 31, 42]","[24, 51, 55, 42, 24, 40]","[22, 45, 51, 41, 15, 32]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[43, 112, 110, 101, 40, 54]","[35, 101, 104, 55, 32, 52]","[32, 53, 101, 52, 30, 43]","[25, 50, 54, 43, 24, 40]","[22, 45, 51, 41, 15, 32]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[44, 103, 110, 105, 42, 52]","[40, 54, 103, 103, 34, 45]","[32, 51, 102, 55, 25, 42]","[30, 44, 53, 53, 23, 33]","[24, 43, 51, 42, 20, 30]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[45, 105, 102, 105, 34, 101]","[40, 55, 100, 103, 31, 53]","[31, 51, 55, 55, 25, 45]","[30, 44, 53, 53, 23, 33]","[24, 43, 51, 42, 20, 30]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[45, 110, 102, 110, 33, 100]","[35, 55, 100, 103, 31, 54]","[31, 51, 55, 55, 25, 45]","[30, 44, 53, 53, 23, 33]","[24, 43, 51, 42, 20, 30]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[45, 111, 101, 105, 34, 100]","[40, 55, 100, 103, 31, 53]","[31, 51, 55, 55, 25, 45]","[30, 44, 53, 53, 23, 33]","[24, 43, 51, 42, 20, 30]","[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]","[11, 30, 21, 15, 0, 15]","[5, 20, 15, 13, 0, 12]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
