"[32, 104, 53, 103, 52, 52]","[25, 101, 45, 55, 50, 44]","[22, 54, 43, 54, 42, 34]","[21, 53, 35, 51, 32, 31]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[32, 105, 52, 103, 51, 53]","[25, 101, 45, 55, 50, 44]","[22, 54, 43, 54, 42, 34]","[21, 53, 35, 51, 32, 31]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[32, 110, 53, 102, 51, 52]","[25, 101, 45, 55, 50, 44]","[22, 54, 43, 54, 42, 34]","[21, 53, 35, 51, 32, 31]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[33, 104, 52, 53, 55, 55]","[31, 102, 50, 45, 53, 44]","[24, 55, 44, 42, 45, 40]","[22, 54, 41, 41, 34, 32]","[21, 51, 33, 34, 25, 30]","[15, 44, 30, 25, 23, 23]","[13, 42, 22, 21, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[33, 104, 55, 51, 55, 54]","[31, 101, 54, 44, 52, 43]","[25, 53, 52, 41, 43, 40]","[23, 51, 45, 34, 35, 32]","[22, 45, 42, 25, 32, 24]","[21, 44, 31, 23, 24, 21]","[20, 40, 22, 20, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[33, 110, 51, 53, 55, 54]","[31, 102, 50, 45, 53, 44]","[24, 55, 44, 42, 45, 40]","[22, 54, 41, 41, 34, 32]","[21, 51, 33, 34, 25, 30]","[15, 44, 30, 25, 23, 23]","[13, 42, 22, 21, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[33, 111, 45, 102, 54, 51]","[31, 101, 43, 55, 51, 43]","[25, 52, 42, 51, 44, 35]","[24, 50, 34, 45, 40, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[35, 104, 50, 102, 53, 52]","[31, 101, 43, 55, 51, 43]","[25, 52, 42, 51, 44, 35]","[24, 50, 34, 45, 40, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[35, 110, 50, 101, 52, 52]","[31, 101, 43, 55, 51, 43]","[25, 52, 42, 51, 44, 35]","[24, 50, 34, 45, 40, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[40, 104, 45, 100, 55, 52]","[31, 101, 43, 55, 51, 43]","[25, 52, 42, 51, 44, 35]","[24, 50, 34, 45, 40, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
