"[35, 114, 53, 105, 101, 103]","[31, 103, 52, 101, 55, 55]","[24, 54, 50, 54, 54, 45]","[22, 53, 44, 53, 44, 35]","[21, 52, 41, 45, 35, 31]","[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[40, 114, 53, 104, 103, 101]","[31, 103, 52, 101, 55, 55]","[24, 54, 50, 54, 54, 45]","[22, 53, 44, 53, 44, 35]","[21, 52, 41, 45, 35, 31]","[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[40, 114, 54, 102, 104, 101]","[31, 103, 52, 101, 55, 55]","[24, 54, 50, 54, 54, 45]","[22, 53, 44, 53, 44, 35]","[21, 52, 41, 45, 35, 31]","[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[40, 114, 55, 102, 55, 105]","[32, 105, 53, 101, 52, 55]","[25, 101, 50, 54, 51, 45]","[22, 53, 44, 53, 44, 35]","[21, 52, 41, 45, 35, 31]","[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[42, 114, 53, 103, 55, 104]","[35, 105, 51, 100, 51, 100]","[25, 55, 50, 54, 50, 51]","[22, 53, 44, 53, 44, 35]","[21, 52, 41, 45, 35, 31]","[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[42, 121, 51, 115, 101, 45]","[40, 105, 44, 114, 54, 41]","[33, 100, 43, 113, 43, 34]","[30, 52, 42, 102, 35, 33]","[23, 50, 34, 53, 33, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[43, 115, 51, 120, 102, 44]","[40, 105, 44, 114, 54, 41]","[33, 100, 43, 113, 43, 34]","[30, 52, 42, 102, 35, 33]","[23, 50, 34, 53, 33, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[43, 115, 100, 102, 53, 102]","[34, 105, 53, 55, 51, 55]","[32, 102, 52, 52, 45, 43]","[30, 100, 43, 45, 42, 35]","[22, 54, 41, 41, 34, 32]","[21, 51, 33, 34, 25, 30]","[15, 44, 30, 25, 23, 23]","[13, 42, 22, 21, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[43, 120, 51, 121, 101, 43]","[40, 105, 44, 114, 54, 41]","[33, 100, 43, 113, 43, 34]","[30, 52, 42, 102, 35, 33]","[23, 50, 34, 53, 33, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[44, 114, 50, 120, 104, 43]","[40, 105, 44, 114, 54, 41]","[33, 100, 43, 113, 43, 34]","[30, 52, 42, 102, 35, 33]","[23, 50, 34, 53, 33, 30]","[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]","[5, 32, 13, 23, 13, 13]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
