"[13, 41, 41, 33, 30, 20]","[10, 33, 35, 24, 23, 15]","[4, 30, 32, 15, 21, 12]","[2, 22, 24, 12, 15, 10]","[0, 14, 14, 11, 13, 4]","[0, 4, 13, 5, 5, 3]","[0, 2, 12, 2, 3, 0]","[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[14, 45, 33, 24, 25, 25]","[13, 43, 25, 21, 21, 21]","[12, 34, 20, 14, 15, 15]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
"[20, 44, 34, 24, 30, 22]","[13, 43, 25, 21, 21, 21]","[12, 34, 20, 14, 15, 15]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
"[21, 45, 42, 21, 23, 22]","[20, 42, 31, 15, 20, 20]","[12, 35, 22, 13, 14, 14]","[11, 30, 14, 10, 11, 12]","[4, 14, 12, 4, 5, 11]","[3, 5, 10, 3, 1, 5]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[22, 42, 41, 24, 25, 20]","[20, 40, 30, 23, 21, 14]","[12, 33, 22, 20, 14, 13]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
