"[31, 101, 53, 52, 53, 44]","[25, 53, 51, 44, 50, 40]","[22, 51, 45, 42, 42, 31]","[21, 44, 40, 40, 34, 24]","[14, 42, 33, 34, 23, 23]","[13, 40, 25, 24, 15, 22]","[11, 33, 20, 22, 12, 15]","[5, 24, 11, 15, 11, 13]","[4, 13, 5, 13, 5, 10]","[2, 5, 4, 10, 3, 3]","[0, 3, 2, 3, 1, 1]"
"[32, 100, 53, 51, 54, 44]","[25, 53, 51, 44, 50, 40]","[22, 51, 45, 42, 42, 31]","[21, 44, 40, 40, 34, 24]","[14, 42, 33, 34, 23, 23]","[13, 40, 25, 24, 15, 22]","[11, 33, 20, 22, 12, 15]","[5, 24, 11, 15, 11, 13]","[4, 13, 5, 13, 5, 10]","[2, 5, 4, 10, 3, 3]","[0, 3, 2, 3, 1, 1]"
"[32, 112, 45, 101, 43, 41]","[30, 102, 42, 54, 35, 35]","[23, 100, 35, 50, 32, 31]","[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[32, 113, 43, 101, 45, 40]","[25, 104, 41, 53, 41, 34]","[23, 100, 35, 50, 32, 31]","[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[33, 105, 45, 102, 43, 42]","[30, 102, 42, 54, 35, 35]","[23, 100, 35, 50, 32, 31]","[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[33, 111, 43, 103, 44, 40]","[30, 102, 42, 54, 35, 35]","[23, 100, 35, 50, 32, 31]","[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[34, 105, 44, 100, 45, 42]","[30, 102, 42, 54, 35, 35]","[23, 100, 35, 50, 32, 31]","[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[35, 50, 55, 52, 54, 44]","[33, 45, 53, 50, 50, 33]","[30, 44, 52, 40, 44, 24]","[23, 43, 45, 34, 33, 22]","[22, 42, 41, 24, 25, 20]","[20, 40, 30, 23, 21, 14]","[12, 33, 22, 20, 14, 13]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
"[35, 50, 55, 53, 52, 45]","[33, 45, 53, 50, 50, 33]","[30, 44, 52, 40, 44, 24]","[23, 43, 45, 34, 33, 22]","[22, 42, 41, 24, 25, 20]","[20, 40, 30, 23, 21, 14]","[12, 33, 22, 20, 14, 13]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
"[40, 50, 55, 52, 54, 43]","[33, 45, 53, 50, 50, 33]","[30, 44, 52, 40, 44, 24]","[23, 43, 45, 34, 33, 22]","[22, 42, 41, 24, 25, 20]","[20, 40, 30, 23, 21, 14]","[12, 33, 22, 20, 14, 13]","[10, 25, 13, 12, 12, 12]","[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
