Input,Output,SUM
"[14, 43, 23, 23, 15, 20]","[12, 40, 15, 15, 12, 14]",2
"[14, 43, 23, 34, 24, 21]","[13, 40, 15, 30, 15, 20]",4
"[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]",3
"[14, 43, 30, 32, 24, 20]","[11, 41, 22, 24, 20, 15]",1
"[14, 43, 30, 33, 21, 14]","[12, 35, 24, 24, 13, 13]",1
"[14, 43, 31, 32, 20, 15]","[12, 35, 24, 24, 13, 13]",2
"[14, 43, 32, 31, 15, 20]","[12, 35, 25, 23, 12, 14]",4
"[14, 43, 32, 32, 21, 21]","[13, 35, 23, 24, 14, 20]",1
"[14, 43, 33, 25, 20, 20]","[11, 41, 25, 21, 13, 14]",3
"[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]",4
"[14, 44, 23, 23, 20, 14]","[12, 41, 15, 20, 11, 13]",1
"[14, 44, 30, 31, 21, 15]","[12, 35, 24, 24, 13, 13]",1
"[14, 44, 31, 31, 22, 21]","[13, 35, 23, 24, 14, 20]",1
"[14, 44, 31, 32, 24, 21]","[13, 40, 23, 25, 15, 20]",1
"[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]",5
"[14, 44, 35, 22, 22, 21]","[13, 41, 25, 20, 14, 15]",1
"[14, 45, 25, 33, 24, 21]","[13, 42, 21, 30, 20, 14]",2
"[14, 45, 32, 31, 21, 21]","[13, 40, 24, 24, 14, 15]",1
"[14, 45, 33, 24, 25, 25]","[13, 43, 25, 21, 21, 21]",4
"[14, 45, 41, 30, 25, 25]","[12, 42, 34, 24, 21, 21]",1
"[14, 45, 41, 33, 32, 30]","[12, 42, 35, 24, 24, 24]",1
"[14, 45, 42, 35, 33, 23]","[13, 43, 35, 30, 25, 20]",1
"[14, 50, 22, 23, 20, 13]","[11, 43, 13, 20, 14, 11]",2
"[14, 50, 41, 15, 23, 21]","[12, 41, 34, 13, 20, 14]",3
"[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]",4
"[14, 51, 33, 30, 21, 23]","[12, 43, 30, 21, 15, 21]",2
"[14, 51, 35, 35, 24, 22]","[13, 44, 31, 32, 21, 14]",1
"[14, 51, 35, 35, 34, 23]","[13, 44, 33, 30, 31, 15]",1
"[14, 51, 41, 32, 31, 30]","[12, 42, 35, 24, 24, 24]",1
"[14, 52, 31, 31, 22, 21]","[13, 43, 22, 24, 20, 15]",1
"[14, 53, 42, 32, 25, 25]","[13, 51, 33, 25, 22, 21]",1
"[14, 54, 34, 35, 30, 25]","[12, 52, 32, 31, 22, 21]",1
"[15, 32, 35, 25, 20, 20]","[12, 30, 30, 22, 15, 12]",2
"[15, 33, 30, 24, 5, 15]","[13, 30, 24, 20, 3, 11]",4
"[15, 34, 25, 22, 12, 20]","[13, 31, 15, 20, 10, 13]",1
"[15, 35, 23, 31, 10, 20]","[12, 31, 20, 23, 5, 13]",1
"[15, 40, 31, 20, 11, 14]","[12, 30, 25, 14, 4, 12]",1
"[15, 42, 25, 20, 15, 23]","[13, 35, 20, 14, 13, 15]",1
"[15, 42, 25, 21, 15, 23]","[14, 34, 20, 15, 13, 15]",5
"[15, 42, 32, 33, 22, 20]","[13, 40, 22, 25, 20, 14]",1
"[15, 42, 42, 33, 23, 25]","[14, 40, 33, 25, 20, 22]",1
"[15, 43, 21, 34, 23, 20]","[13, 40, 13, 30, 20, 14]",3
"[15, 43, 31, 32, 25, 23]","[14, 40, 23, 23, 23, 20]",1
"[15, 43, 32, 33, 20, 21]","[13, 40, 24, 24, 14, 15]",3
"[15, 43, 35, 31, 12, 21]","[14, 34, 32, 23, 10, 14]",1
"[15, 43, 40, 22, 31, 20]","[12, 40, 32, 15, 24, 14]",1
"[15, 43, 41, 32, 24, 25]","[14, 40, 33, 25, 20, 22]",1
"[15, 43, 42, 21, 23, 20]","[13, 40, 33, 14, 20, 14]",2
"[15, 44, 25, 13, 22, 21]","[14, 40, 20, 11, 15, 14]",1
"[15, 44, 25, 25, 21, 23]","[14, 41, 20, 23, 14, 15]",1
"[15, 44, 30, 25, 23, 23]","[13, 42, 22, 21, 20, 20]",2
"[15, 44, 31, 24, 22, 21]","[14, 40, 22, 22, 14, 15]",6
"[15, 45, 35, 34, 24, 24]","[14, 43, 32, 31, 15, 20]",1
"[15, 45, 35, 35, 22, 25]","[14, 43, 31, 32, 20, 15]",1
"[15, 45, 42, 32, 24, 23]","[14, 43, 33, 25, 20, 20]",1
"[15, 45, 43, 33, 35, 22]","[14, 43, 40, 24, 32, 14]",1
"[15, 50, 31, 24, 30, 21]","[12, 42, 24, 21, 24, 14]",2
"[15, 50, 35, 35, 33, 24]","[13, 44, 33, 30, 31, 15]",1
"[15, 50, 35, 40, 24, 31]","[12, 43, 33, 33, 21, 23]",1
"[15, 50, 40, 21, 21, 25]","[12, 42, 32, 20, 15, 21]",3
"[15, 50, 40, 34, 25, 31]","[12, 43, 34, 31, 22, 23]",1
"[15, 50, 41, 32, 30, 31]","[12, 42, 35, 24, 24, 24]",1
"[15, 51, 32, 25, 21, 24]","[14, 43, 23, 23, 15, 20]",1
"[15, 51, 35, 34, 21, 25]","[14, 43, 32, 31, 15, 20]",1
"[15, 51, 41, 33, 22, 23]","[14, 43, 33, 25, 20, 20]",1
"[15, 51, 50, 25, 25, 32]","[13, 44, 42, 23, 24, 22]",1
"[15, 52, 35, 34, 31, 33]","[14, 45, 33, 24, 25, 25]",1
"[15, 52, 42, 32, 31, 32]","[14, 45, 33, 24, 25, 25]",1
"[15, 53, 30, 24, 21, 24]","[13, 50, 22, 21, 14, 21]",1
"[15, 53, 32, 41, 31, 24]","[14, 45, 25, 33, 24, 21]",1
"[15, 53, 33, 35, 33, 24]","[14, 51, 31, 24, 31, 20]",1
"[15, 53, 35, 35, 23, 30]","[13, 51, 33, 25, 22, 21]",1
"[15, 53, 44, 23, 31, 24]","[14, 50, 41, 15, 23, 21]",1
"[15, 54, 31, 25, 22, 21]","[14, 50, 22, 23, 20, 13]",1
"[15, 54, 44, 21, 31, 25]","[14, 50, 41, 15, 23, 21]",1
"[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]",9
"[2, 11, 12, 10, 4, 4]","[0, 2, 5, 5, 1, 3]",5
"[2, 11, 12, 3, 1, 3]","[1, 2, 5, 0, 0, 2]",3
"[2, 11, 12, 4, 4, 3]","[1, 3, 5, 2, 1, 2]",1
"[2, 12, 22, 2, 4, 10]","[0, 5, 12, 1, 2, 5]",1
"[2, 13, 11, 11, 1, 5]","[1, 2, 5, 5, 0, 3]",1
"[2, 13, 3, 4, 4, 0]","[1, 11, 1, 1, 1, 0]",15
"[2, 13, 3, 4, 4, 2]","[1, 11, 0, 1, 1, 1]",2
"[2, 13, 3, 5, 0, 3]","[1, 11, 1, 1, 0, 1]",4
"[2, 13, 3, 5, 2, 3]","[1, 11, 0, 1, 1, 1]",11
"[2, 13, 4, 11, 10, 5]","[0, 4, 2, 5, 4, 3]",1
"[2, 13, 4, 3, 4, 2]","[1, 11, 1, 0, 1, 1]",3
"[2, 13, 4, 4, 3, 2]","[1, 11, 1, 1, 0, 1]",1
"[2, 13, 4, 5, 3, 3]","[1, 11, 2, 1, 1, 1]",1
"[2, 13, 5, 11, 10, 4]","[0, 4, 3, 5, 4, 2]",1
"[2, 14, 14, 0, 5, 11]","[1, 5, 12, 0, 2, 5]",13
"[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]",26
"[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]",24
"[2, 15, 5, 11, 3, 11]","[1, 5, 3, 5, 2, 4]",1
"[2, 21, 14, 13, 5, 10]","[0, 12, 11, 11, 3, 4]",19
"[2, 22, 15, 13, 4, 11]","[1, 13, 11, 11, 2, 5]",2
"[2, 22, 24, 12, 15, 10]","[0, 14, 14, 11, 13, 4]",10
"[2, 23, 22, 11, 5, 13]","[1, 15, 13, 4, 4, 11]",1
"[2, 3, 10, 3, 4, 1]","[0, 0, 4, 0, 2, 0]",17
"[2, 3, 10, 5, 1, 2]","[0, 0, 3, 3, 0, 0]",1
"[2, 3, 12, 10, 5, 2]","[0, 0, 4, 4, 4, 0]",11
"[2, 3, 20, 4, 5, 2]","[0, 2, 12, 2, 3, 0]",1
"[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]",31
"[2, 30, 32, 12, 12, 13]","[0, 22, 23, 4, 11, 12]",1
"[2, 31, 30, 13, 12, 13]","[0, 22, 23, 4, 11, 12]",2
"[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]",4
"[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]",5
"[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]",9
"[2, 4, 11, 5, 10, 2]","[0, 0, 4, 4, 4, 0]",9
"[2, 4, 3, 5, 4, 2]","[1, 3, 0, 3, 1, 0]",2
"[2, 4, 4, 5, 3, 2]","[1, 3, 1, 3, 0, 0]",3
"[2, 4, 4, 5, 4, 3]","[1, 3, 2, 3, 0, 1]",1
"[2, 41, 34, 14, 21, 14]","[1, 32, 31, 12, 12, 13]",1
"[2, 5, 11, 0, 0, 5]","[1, 2, 5, 0, 0, 2]",1
"[2, 5, 12, 0, 1, 5]","[1, 2, 5, 0, 0, 2]",2
"[2, 5, 12, 1, 0, 5]","[1, 2, 5, 0, 0, 2]",5
"[2, 5, 12, 4, 3, 5]","[1, 3, 5, 2, 1, 2]",2
"[2, 5, 3, 10, 0, 3]","[0, 3, 1, 3, 0, 1]",2
"[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]",18
"[2, 5, 4, 10, 3, 3]","[0, 3, 2, 3, 1, 1]",9
"[20, 32, 35, 25, 20, 15]","[13, 30, 30, 22, 15, 11]",4
"[20, 32, 35, 31, 21, 12]","[14, 24, 30, 23, 20, 10]",1
"[20, 33, 33, 22, 14, 13]","[14, 30, 25, 12, 12, 12]",3
"[20, 33, 35, 32, 4, 22]","[14, 32, 30, 23, 2, 20]",6
"[20, 34, 15, 20, 13, 10]","[12, 30, 12, 13, 11, 4]",9
"[20, 34, 34, 31, 5, 22]","[14, 32, 30, 23, 2, 20]",1
"[20, 35, 21, 30, 5, 20]","[12, 33, 13, 23, 4, 13]",1
"[20, 40, 22, 20, 20, 20]","[10, 35, 11, 15, 14, 15]",6
"[20, 40, 23, 23, 20, 15]","[12, 34, 14, 20, 14, 13]",3
"[20, 40, 24, 20, 20, 15]","[11, 34, 15, 15, 13, 13]",1
"[20, 40, 30, 23, 21, 14]","[12, 33, 22, 20, 14, 13]",5
"[20, 40, 31, 22, 20, 15]","[12, 33, 22, 20, 14, 13]",1
"[20, 40, 34, 21, 20, 22]","[12, 34, 24, 15, 13, 21]",7
"[20, 41, 34, 32, 15, 22]","[14, 34, 25, 25, 12, 20]",1
"[20, 42, 31, 15, 20, 20]","[12, 35, 22, 13, 14, 14]",3
"[20, 42, 33, 31, 25, 22]","[14, 40, 23, 23, 23, 20]",3
"[20, 42, 34, 25, 30, 22]","[13, 41, 24, 22, 23, 20]",3
"[20, 42, 43, 25, 24, 25]","[14, 41, 33, 23, 20, 22]",2
"[20, 42, 43, 32, 23, 23]","[14, 41, 33, 23, 20, 22]",2
"[20, 43, 33, 32, 23, 20]","[13, 42, 24, 22, 21, 15]",1
"[20, 43, 41, 33, 23, 23]","[14, 41, 33, 23, 20, 22]",1
"[20, 43, 42, 31, 24, 23]","[14, 41, 33, 23, 20, 22]",1
"[20, 44, 32, 32, 23, 20]","[13, 43, 22, 24, 20, 15]",1
"[20, 44, 33, 42, 32, 22]","[14, 43, 23, 34, 24, 21]",1
"[20, 44, 34, 24, 30, 22]","[13, 43, 25, 21, 21, 21]",3
"[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]",1
"[20, 45, 23, 23, 20, 14]","[13, 43, 14, 20, 13, 12]",6
"[20, 45, 32, 42, 31, 23]","[14, 43, 23, 34, 24, 21]",1
"[20, 45, 33, 42, 31, 24]","[14, 43, 25, 34, 23, 22]",1
"[20, 45, 41, 34, 23, 22]","[14, 43, 32, 31, 15, 20]",1
"[20, 45, 42, 32, 34, 24]","[14, 44, 33, 25, 25, 22]",1
"[20, 45, 42, 33, 32, 25]","[14, 44, 33, 25, 25, 22]",1
"[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]",1
"[20, 50, 30, 25, 20, 25]","[11, 45, 21, 23, 15, 21]",2
"[20, 51, 41, 33, 32, 24]","[14, 44, 33, 25, 25, 22]",1
"[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]",1
"[20, 51, 50, 25, 25, 31]","[13, 44, 42, 23, 24, 22]",1
"[20, 52, 33, 40, 24, 30]","[12, 51, 25, 32, 21, 24]",1
"[20, 52, 35, 34, 33, 23]","[14, 51, 31, 24, 31, 20]",1
"[20, 52, 42, 32, 31, 31]","[14, 45, 33, 24, 25, 25]",1
"[20, 52, 42, 32, 33, 22]","[14, 51, 31, 24, 31, 20]",1
"[20, 52, 51, 21, 30, 24]","[13, 45, 42, 15, 24, 21]",1
"[21, 34, 50, 32, 22, 22]","[15, 32, 35, 25, 20, 20]",1
"[21, 35, 43, 34, 23, 21]","[20, 32, 35, 25, 20, 15]",1
"[21, 35, 44, 32, 24, 21]","[20, 32, 35, 25, 20, 15]",1
"[21, 41, 42, 24, 23, 14]","[20, 33, 33, 22, 14, 13]",2
"[21, 41, 43, 35, 12, 24]","[20, 33, 35, 32, 4, 22]",4
"[21, 42, 25, 22, 15, 13]","[20, 34, 15, 20, 13, 10]",1
"[21, 42, 35, 22, 22, 22]","[20, 40, 22, 20, 20, 20]",1
"[21, 42, 35, 25, 22, 22]","[20, 40, 23, 23, 20, 15]",2
"[21, 42, 44, 23, 25, 24]","[20, 40, 34, 21, 20, 22]",5
"[21, 42, 45, 22, 24, 25]","[20, 40, 34, 21, 20, 22]",1
"[21, 43, 32, 24, 23, 21]","[20, 40, 22, 20, 20, 20]",1
"[21, 44, 24, 21, 21, 11]","[20, 34, 15, 20, 13, 10]",7
"[21, 44, 30, 31, 30, 21]","[14, 40, 23, 23, 23, 20]",2
"[21, 44, 31, 23, 24, 21]","[20, 40, 22, 20, 20, 20]",3
"[21, 44, 33, 30, 23, 24]","[15, 42, 25, 21, 15, 23]",2
"[21, 44, 40, 40, 34, 24]","[14, 42, 33, 34, 23, 23]",1
"[21, 44, 42, 33, 35, 24]","[20, 42, 34, 25, 30, 22]",1
"[21, 45, 33, 25, 21, 30]","[15, 42, 25, 21, 15, 23]",2
"[21, 45, 40, 35, 24, 25]","[15, 43, 32, 33, 20, 21]",1
"[21, 45, 41, 33, 34, 25]","[20, 42, 34, 25, 30, 22]",1
"[21, 45, 42, 21, 23, 22]","[20, 42, 31, 15, 20, 20]",2
"[21, 45, 51, 35, 25, 32]","[20, 42, 43, 32, 23, 23]",1
"[21, 50, 31, 42, 30, 23]","[14, 43, 23, 34, 24, 21]",1
"[21, 50, 35, 33, 23, 25]","[15, 44, 31, 24, 22, 21]",3
"[21, 50, 41, 35, 22, 25]","[15, 43, 32, 33, 20, 21]",1
"[21, 50, 44, 25, 40, 21]","[14, 43, 40, 24, 32, 14]",1
"[21, 50, 51, 23, 25, 24]","[15, 43, 42, 21, 23, 20]",1
"[21, 51, 33, 34, 25, 30]","[15, 44, 30, 25, 23, 23]",1
"[21, 51, 42, 33, 33, 24]","[20, 44, 34, 24, 30, 22]",1
"[21, 51, 43, 32, 32, 25]","[20, 44, 34, 24, 30, 22]",1
"[21, 52, 34, 25, 22, 21]","[20, 45, 23, 23, 20, 14]",3
"[21, 52, 40, 33, 32, 23]","[15, 50, 31, 24, 30, 21]",1
"[21, 52, 50, 24, 23, 32]","[15, 50, 40, 21, 21, 25]",1
"[21, 53, 40, 35, 23, 30]","[14, 51, 33, 30, 21, 23]",1
"[21, 53, 43, 30, 24, 31]","[15, 50, 40, 21, 21, 25]",1
"[22, 34, 50, 32, 22, 21]","[20, 32, 35, 25, 20, 15]",1
"[22, 40, 30, 23, 20, 14]","[14, 34, 21, 20, 13, 13]",2
"[22, 40, 40, 25, 12, 21]","[15, 33, 30, 24, 5, 15]",3
"[22, 40, 43, 35, 11, 25]","[20, 33, 35, 32, 4, 22]",1
"[22, 42, 41, 24, 25, 20]","[20, 40, 30, 23, 21, 14]",4
"[22, 43, 42, 40, 33, 23]","[20, 42, 33, 31, 25, 22]",1
"[22, 44, 43, 34, 31, 23]","[21, 42, 35, 25, 22, 22]",1
"[22, 45, 30, 41, 30, 22]","[15, 43, 21, 34, 23, 20]",2
"[22, 45, 34, 35, 34, 25]","[21, 44, 30, 31, 30, 21]",1
"[22, 45, 40, 30, 25, 25]","[15, 44, 31, 24, 22, 21]",2
"[22, 45, 42, 25, 32, 24]","[21, 44, 31, 23, 24, 21]",1
"[22, 45, 51, 41, 15, 32]","[21, 41, 43, 35, 12, 24]",1
"[22, 51, 33, 25, 23, 14]","[21, 44, 24, 21, 21, 11]",3
"[22, 52, 33, 31, 21, 20]","[20, 45, 23, 23, 20, 14]",2
"[22, 52, 40, 33, 22, 31]","[20, 50, 30, 25, 20, 25]",1
"[22, 53, 44, 32, 25, 25]","[21, 52, 34, 25, 22, 21]",1
"[23, 42, 45, 32, 15, 25]","[22, 40, 40, 25, 12, 21]",2
"[23, 43, 40, 40, 34, 23]","[20, 42, 33, 31, 25, 22]",1
"[23, 43, 45, 34, 33, 22]","[22, 42, 41, 24, 25, 20]",1
"[23, 43, 50, 33, 25, 21]","[21, 41, 42, 24, 23, 14]",1
"[23, 43, 50, 35, 30, 32]","[20, 42, 43, 25, 24, 25]",1
"[23, 44, 51, 32, 32, 22]","[22, 42, 41, 24, 25, 20]",1
"[23, 44, 51, 33, 32, 30]","[21, 42, 44, 23, 25, 24]",1
"[23, 45, 35, 32, 30, 25]","[21, 44, 31, 23, 24, 21]",1
"[23, 45, 50, 33, 31, 31]","[21, 42, 44, 23, 25, 24]",1
"[23, 50, 33, 25, 22, 15]","[21, 44, 24, 21, 21, 11]",1
"[23, 51, 40, 35, 23, 33]","[21, 45, 33, 25, 21, 30]",1
"[23, 51, 44, 35, 32, 32]","[22, 45, 40, 30, 25, 25]",1
"[23, 52, 43, 42, 30, 31]","[21, 50, 35, 33, 23, 25]",1
"[23, 53, 41, 43, 30, 31]","[21, 50, 35, 33, 23, 25]",1
"[23, 54, 41, 34, 30, 23]","[21, 52, 34, 25, 22, 21]",1
"[24, 42, 35, 31, 23, 20]","[22, 40, 30, 23, 20, 14]",1
"[24, 43, 50, 33, 32, 22]","[22, 42, 41, 24, 25, 20]",1
"[24, 43, 51, 42, 20, 30]","[21, 41, 43, 35, 12, 24]",1
"[24, 44, 50, 31, 34, 30]","[21, 42, 44, 23, 25, 24]",1
"[24, 44, 50, 41, 21, 30]","[21, 41, 43, 35, 12, 24]",1
"[24, 45, 40, 34, 32, 30]","[21, 44, 33, 30, 23, 24]",1
"[24, 50, 32, 30, 23, 13]","[21, 44, 24, 21, 21, 11]",2
"[24, 50, 50, 31, 31, 31]","[21, 42, 44, 23, 25, 24]",1
"[24, 51, 33, 44, 40, 24]","[22, 45, 30, 41, 30, 22]",1
"[24, 54, 41, 32, 31, 20]","[22, 51, 33, 25, 23, 14]",1
"[24, 54, 41, 34, 30, 22]","[22, 52, 33, 31, 21, 20]",1
"[25, 100, 41, 31, 25, 21]","[22, 51, 33, 25, 23, 14]",1
"[25, 50, 45, 24, 30, 30]","[21, 45, 42, 21, 23, 22]",1
"[25, 52, 42, 33, 25, 21]","[24, 50, 32, 30, 23, 13]",1
"[3, 10, 10, 13, 3, 4]","[0, 2, 5, 5, 1, 3]",1
"[3, 10, 3, 10, 0, 2]","[0, 3, 1, 3, 0, 1]",30
"[3, 10, 3, 10, 2, 0]","[0, 3, 1, 3, 1, 0]",2
"[3, 10, 3, 10, 2, 2]","[0, 3, 0, 3, 1, 1]",5
"[3, 10, 4, 10, 3, 2]","[0, 3, 2, 3, 1, 1]",1
"[3, 11, 10, 5, 3, 4]","[1, 3, 5, 2, 1, 2]",1
"[3, 11, 12, 5, 5, 5]","[2, 3, 10, 3, 4, 1]",14
"[3, 11, 5, 10, 4, 3]","[1, 3, 4, 3, 2, 1]",2
"[3, 12, 11, 10, 3, 2]","[1, 3, 4, 3, 2, 1]",2
"[3, 12, 11, 11, 10, 10]","[0, 0, 5, 5, 5, 5]",7
"[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]",28
"[3, 12, 3, 10, 1, 1]","[1, 3, 1, 3, 0, 0]",5
"[3, 13, 11, 11, 5, 3]","[2, 3, 10, 3, 4, 1]",2
"[3, 13, 11, 12, 1, 5]","[2, 3, 5, 5, 0, 3]",1
"[3, 13, 12, 11, 5, 4]","[2, 4, 10, 4, 3, 2]",2
"[3, 13, 13, 10, 10, 4]","[0, 4, 12, 2, 4, 3]",3
"[3, 13, 13, 14, 12, 3]","[2, 4, 11, 5, 10, 2]",8
"[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]",17
"[3, 13, 5, 12, 4, 10]","[1, 5, 3, 5, 2, 4]",2
"[3, 14, 0, 11, 5, 10]","[1, 5, 0, 5, 3, 4]",9
"[3, 14, 13, 10, 3, 10]","[0, 5, 12, 2, 1, 5]",1
"[3, 14, 2, 11, 5, 10]","[1, 5, 0, 5, 3, 4]",3
"[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]",51
"[3, 15, 13, 11, 3, 10]","[1, 5, 12, 3, 2, 4]",1
"[3, 20, 10, 12, 3, 5]","[0, 13, 3, 5, 2, 3]",7
"[3, 20, 13, 14, 5, 10]","[0, 12, 11, 11, 3, 4]",16
"[3, 21, 15, 12, 5, 11]","[2, 11, 12, 10, 4, 4]",4
"[3, 21, 5, 10, 10, 4]","[0, 13, 3, 4, 4, 2]",5
"[3, 21, 5, 11, 5, 3]","[2, 13, 3, 4, 4, 0]",1
"[3, 22, 11, 11, 2, 4]","[2, 13, 3, 5, 0, 3]",1
"[3, 22, 23, 12, 5, 12]","[2, 15, 13, 5, 4, 10]",7
"[3, 22, 24, 2, 11, 12]","[2, 14, 14, 0, 5, 11]",12
"[3, 23, 15, 5, 10, 14]","[1, 15, 13, 2, 4, 11]",1
"[3, 23, 20, 15, 12, 11]","[1, 14, 12, 12, 11, 5]",2
"[3, 23, 21, 13, 5, 12]","[2, 15, 13, 5, 4, 10]",1
"[3, 23, 22, 11, 12, 10]","[1, 14, 13, 4, 11, 5]",1
"[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]",20
"[3, 4, 10, 4, 3, 3]","[1, 2, 5, 0, 0, 2]",2
"[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]",2
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]",27
"[3, 5, 10, 3, 1, 5]","[1, 2, 5, 0, 0, 2]",13
"[3, 5, 10, 4, 4, 5]","[1, 3, 5, 2, 1, 2]",5
"[3, 5, 2, 10, 0, 3]","[1, 3, 0, 3, 0, 1]",11
"[3, 5, 3, 10, 0, 2]","[1, 3, 1, 3, 0, 0]",4
"[3, 5, 3, 10, 2, 2]","[1, 3, 0, 3, 1, 0]",2
"[3, 5, 4, 10, 2, 3]","[1, 3, 2, 3, 0, 1]",16
"[3, 5, 4, 10, 3, 2]","[1, 3, 2, 3, 1, 0]",2
"[3, 5, 5, 10, 3, 5]","[1, 3, 4, 3, 2, 1]",21
"[30, 44, 52, 40, 23, 31]","[23, 42, 45, 32, 15, 25]",1
"[4, 10, 10, 10, 4, 5]","[0, 2, 5, 5, 1, 3]",9
"[4, 10, 12, 10, 2, 5]","[1, 2, 5, 5, 0, 3]",2
"[4, 10, 3, 10, 3, 0]","[1, 3, 2, 3, 1, 0]",5
"[4, 11, 10, 10, 4, 4]","[1, 2, 5, 5, 0, 3]",6
"[4, 12, 11, 10, 4, 4]","[2, 3, 5, 5, 0, 3]",1
"[4, 12, 20, 12, 11, 3]","[2, 3, 12, 10, 5, 2]",7
"[4, 12, 20, 5, 5, 12]","[2, 5, 12, 4, 3, 5]",1
"[4, 12, 22, 2, 2, 10]","[2, 5, 12, 1, 0, 5]",1
"[4, 12, 3, 12, 4, 4]","[3, 5, 0, 10, 0, 3]",1
"[4, 12, 3, 13, 2, 5]","[3, 5, 0, 10, 0, 3]",2
"[4, 12, 4, 13, 3, 5]","[3, 5, 2, 10, 0, 3]",10
"[4, 12, 5, 13, 3, 4]","[3, 5, 3, 10, 0, 2]",1
"[4, 13, 1, 13, 4, 4]","[3, 5, 0, 10, 0, 3]",1
"[4, 13, 10, 12, 2, 5]","[2, 5, 3, 10, 0, 3]",1
"[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]",6
"[4, 13, 13, 4, 4, 10]","[2, 5, 12, 1, 0, 5]",3
"[4, 13, 4, 13, 10, 4]","[2, 5, 3, 10, 2, 3]",1
"[4, 13, 4, 13, 5, 5]","[3, 10, 3, 10, 2, 2]",4
"[4, 13, 5, 11, 10, 4]","[2, 4, 4, 5, 3, 2]",2
"[4, 13, 5, 12, 4, 4]","[3, 10, 3, 10, 0, 2]",1
"[4, 13, 5, 13, 2, 5]","[3, 10, 3, 10, 0, 2]",24
"[4, 13, 5, 13, 5, 10]","[2, 5, 4, 10, 3, 3]",8
"[4, 14, 1, 11, 4, 5]","[3, 5, 0, 10, 0, 3]",14
"[4, 14, 12, 4, 5, 11]","[3, 5, 10, 3, 1, 5]",12
"[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]",16
"[4, 14, 4, 11, 5, 4]","[3, 10, 3, 10, 0, 2]",4
"[4, 15, 12, 11, 5, 12]","[3, 5, 5, 10, 3, 5]",19
"[4, 15, 13, 5, 2, 10]","[2, 11, 11, 3, 0, 3]",8
"[4, 15, 13, 5, 4, 10]","[2, 11, 12, 3, 1, 3]",2
"[4, 15, 4, 10, 11, 10]","[1, 5, 3, 5, 4, 4]",35
"[4, 15, 5, 12, 3, 5]","[3, 12, 3, 10, 1, 1]",2
"[4, 21, 11, 11, 5, 11]","[3, 5, 5, 10, 3, 5]",1
"[4, 21, 11, 12, 3, 2]","[3, 12, 3, 10, 1, 1]",1
"[4, 22, 14, 13, 14, 11]","[3, 12, 11, 11, 10, 10]",4
"[4, 22, 21, 12, 12, 11]","[3, 12, 11, 11, 10, 10]",2
"[4, 22, 22, 10, 13, 10]","[1, 14, 13, 4, 11, 5]",2
"[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]",16
"[4, 23, 20, 11, 13, 10]","[1, 14, 13, 4, 11, 5]",1
"[4, 23, 22, 10, 10, 12]","[1, 15, 13, 4, 4, 11]",1
"[4, 23, 3, 14, 12, 11]","[3, 14, 0, 11, 5, 10]",8
"[4, 23, 4, 14, 13, 11]","[3, 14, 2, 11, 5, 10]",1
"[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]",25
"[4, 24, 12, 13, 12, 11]","[3, 14, 4, 11, 5, 10]",6
"[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]",28
"[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]",14
"[4, 30, 22, 15, 11, 12]","[2, 21, 14, 13, 5, 10]",2
"[4, 30, 32, 15, 21, 12]","[2, 22, 24, 12, 15, 10]",5
"[4, 31, 22, 15, 11, 13]","[3, 21, 15, 12, 5, 11]",1
"[4, 31, 24, 22, 15, 13]","[3, 23, 20, 15, 12, 11]",1
"[4, 31, 25, 14, 14, 14]","[3, 22, 23, 12, 5, 12]",5
