Source,Target,Type,ID,Label,timeset,weight
"We have: 1 0, 11 1's, 12 2's, 3 3's, 2 4's, 3 5's.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,51,,,1
"We have: 1 0, 11 1's, 2 2's, 1 3, 1 4, 1 5.",We have no digits.,Directed,52,,,2
"We have: 1 0, 12 1's, 12 2's, 11 3's, 3 4's, 4 5's.","We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.",Directed,53,,,1
"We have: 1 0, 13 1's, 11 2's, 11 3's, 2 4's, 5 5's.","We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.",Directed,54,,,3
"We have: 1 0, 13 1's, 11 2's, 12 3's, 3 4's, 5 5's.","We have: 3 1's, 5 2's, 5 3's, 2 4's, 3 5's.",Directed,55,,,1
"We have: 1 0, 13 1's, 14 2's, 4 3's, 12 4's, 4 5's.","We have: 4 1's, 12 2's, 2 3's, 4 4's, 3 5's.",Directed,56,,,1
"We have: 1 0, 14 1's, 11 2's, 13 3's, 12 4's, 4 5's.","We have: 3 1's, 5 2's, 11 3's, 5 4's, 3 5's.",Directed,57,,,1
"We have: 1 0, 14 1's, 12 2's, 12 3's, 11 4's, 5 5's.","We have: 3 1's, 5 2's, 11 3's, 5 4's, 3 5's.",Directed,58,,,3
"We have: 1 0, 14 1's, 13 2's, 4 3's, 11 4's, 5 5's.","We have: 4 1's, 12 2's, 2 3's, 4 4's, 3 5's.",Directed,59,,,25
"We have: 1 0, 15 1's, 13 2's, 2 3's, 4 4's, 11 5's.","We have: 5 1's, 11 2's, 2 4's, 5 5's.",Directed,60,,,2
"We have: 1 0, 15 1's, 13 2's, 4 3's, 2 4's, 11 5's.","We have: 5 1's, 11 2's, 2 3's, 5 5's.",Directed,61,,,1
"We have: 1 0, 15 1's, 13 2's, 4 3's, 4 4's, 11 5's.","We have: 5 1's, 12 2's, 2 3's, 1 4, 5 5's.",Directed,62,,,3
"We have: 1 0, 2 1's, 3 2's, 2 3's.",We have no digits.,Directed,63,,,32
"We have: 1 0, 2 1's, 5 2's, 2 5's.",We have: 2 2's.,Directed,64,,,36
"We have: 1 0, 2 1's, 5 2's, 5 3's, 3 5's.","We have: 3 2's, 3 3's.",Directed,65,,,10
"We have: 1 0, 24 1's, 11 2's, 12 3's, 14 4's, 5 5's.","We have: 14 1's, 4 2's, 11 3's, 11 4's, 3 5's.",Directed,66,,,1
"We have: 1 0, 25 1's, 13 2's, 14 3's, 14 4's, 11 5's.","We have: 14 1's, 11 2's, 12 3's, 11 4's, 5 5's.",Directed,67,,,10
"We have: 1 0, 3 1's, 3 3's, 1 5.",We have no digits.,Directed,68,,,39
"We have: 1 0, 3 1's, 3 3's, 1 4.",We have no digits.,Directed,69,,,5
"We have: 1 0, 3 1's, 1 2, 3 3's.",We have no digits.,Directed,70,,,13
"We have: 1 0, 3 1's, 2 2's, 3 3's, 1 5.",We have no digits.,Directed,71,,,18
"We have: 1 0, 3 1's, 2 2's, 3 3's, 1 4.",We have no digits.,Directed,72,,,8
"We have: 1 0, 3 1's, 4 2's, 3 3's, 2 4's, 1 5.",We have: 2 2's.,Directed,73,,,26
"We have: 1 0, 3 1's, 5 2's, 2 3's, 1 4, 2 5's.",We have: 2 2's.,Directed,74,,,10
"We have: 1 0, 32 1's, 15 2's, 15 3's, 15 4's, 12 5's.","We have: 22 1's, 12 2's, 13 3's, 14 4's, 4 5's.",Directed,75,,,1
