"[15, 51, 50, 25, 25, 32]","[13, 44, 42, 23, 24, 22]","[12, 42, 32, 20, 15, 21]","[10, 34, 22, 14, 13, 15]","[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[20, 51, 50, 25, 25, 31]","[13, 44, 42, 23, 24, 22]","[12, 42, 32, 20, 15, 21]","[10, 34, 22, 14, 13, 15]","[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[21, 52, 50, 24, 23, 32]","[15, 50, 40, 21, 21, 25]","[12, 42, 32, 20, 15, 21]","[10, 34, 22, 14, 13, 15]","[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[21, 53, 40, 35, 23, 30]","[14, 51, 33, 30, 21, 23]","[12, 43, 30, 21, 15, 21]","[10, 34, 22, 14, 13, 15]","[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[21, 53, 43, 30, 24, 31]","[15, 50, 40, 21, 21, 25]","[12, 42, 32, 20, 15, 21]","[10, 34, 22, 14, 13, 15]","[4, 25, 15, 11, 10, 13]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[24, 54, 41, 32, 31, 20]","[22, 51, 33, 25, 23, 14]","[21, 44, 24, 21, 21, 11]","[20, 34, 15, 20, 13, 10]","[12, 30, 12, 13, 11, 4]","[10, 20, 5, 10, 5, 3]","[2, 13, 3, 4, 4, 0]","[1, 11, 1, 1, 1, 0]"
"[25, 52, 42, 33, 25, 21]","[24, 50, 32, 30, 23, 13]","[21, 44, 24, 21, 21, 11]","[20, 34, 15, 20, 13, 10]","[12, 30, 12, 13, 11, 4]","[10, 20, 5, 10, 5, 3]","[2, 13, 3, 4, 4, 0]","[1, 11, 1, 1, 1, 0]"
