"[13, 45, 42, 15, 24, 21]","[12, 41, 34, 13, 20, 14]","[10, 32, 31, 10, 12, 13]","[3, 22, 24, 2, 11, 12]","[2, 14, 14, 0, 5, 11]","[1, 5, 12, 0, 2, 5]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[14, 45, 32, 31, 21, 21]","[13, 40, 24, 24, 14, 15]","[11, 32, 21, 22, 5, 13]","[10, 23, 12, 15, 4, 11]","[4, 13, 5, 13, 2, 5]","[3, 10, 3, 10, 0, 2]","[0, 3, 1, 3, 0, 1]"
"[14, 50, 41, 15, 23, 21]","[12, 41, 34, 13, 20, 14]","[10, 32, 31, 10, 12, 13]","[3, 22, 24, 2, 11, 12]","[2, 14, 14, 0, 5, 11]","[1, 5, 12, 0, 2, 5]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[15, 42, 32, 33, 22, 20]","[13, 40, 22, 25, 20, 14]","[10, 33, 13, 23, 13, 12]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[15, 43, 32, 33, 20, 21]","[13, 40, 24, 24, 14, 15]","[11, 32, 21, 22, 5, 13]","[10, 23, 12, 15, 4, 11]","[4, 13, 5, 13, 2, 5]","[3, 10, 3, 10, 0, 2]","[0, 3, 1, 3, 0, 1]"
"[15, 43, 42, 21, 23, 20]","[13, 40, 33, 14, 20, 14]","[10, 32, 31, 10, 12, 13]","[3, 22, 24, 2, 11, 12]","[2, 14, 14, 0, 5, 11]","[1, 5, 12, 0, 2, 5]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[15, 44, 30, 25, 23, 23]","[13, 42, 22, 21, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[20, 41, 34, 32, 15, 22]","[14, 34, 25, 25, 12, 20]","[12, 31, 20, 23, 5, 13]","[10, 23, 12, 15, 4, 11]","[4, 13, 5, 13, 2, 5]","[3, 10, 3, 10, 0, 2]","[0, 3, 1, 3, 0, 1]"
"[21, 42, 35, 22, 22, 22]","[20, 40, 22, 20, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[21, 43, 32, 24, 23, 21]","[20, 40, 22, 20, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[21, 44, 31, 23, 24, 21]","[20, 40, 22, 20, 20, 20]","[10, 35, 11, 15, 14, 15]","[4, 24, 10, 13, 12, 11]","[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
