"[13, 45, 43, 42, 31, 23]","[12, 42, 40, 33, 23, 21]","[10, 35, 31, 25, 20, 20]","[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[14, 44, 43, 40, 34, 22]","[12, 42, 40, 33, 23, 21]","[10, 35, 31, 25, 20, 20]","[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[15, 45, 43, 33, 35, 22]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[15, 53, 33, 35, 33, 24]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[20, 45, 42, 32, 34, 24]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 45, 42, 33, 32, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[20, 51, 41, 33, 32, 24]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 52, 35, 34, 33, 23]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[20, 52, 42, 32, 33, 22]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[21, 50, 44, 25, 40, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[21, 52, 40, 33, 32, 23]","[15, 50, 31, 24, 30, 21]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[22, 44, 43, 34, 31, 23]","[21, 42, 35, 25, 22, 22]","[20, 40, 23, 23, 20, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
