"[31, 114, 52, 102, 55, 51]","[25, 104, 45, 100, 53, 42]","[21, 101, 42, 54, 45, 34]","[15, 53, 35, 52, 40, 31]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[32, 113, 45, 110, 55, 50]","[25, 104, 43, 103, 53, 41]","[22, 100, 41, 55, 45, 34]","[15, 53, 34, 53, 41, 30]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[32, 114, 52, 102, 55, 50]","[25, 110, 44, 100, 53, 41]","[21, 101, 42, 54, 45, 34]","[15, 53, 35, 52, 40, 31]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[32, 121, 53, 102, 53, 44]","[30, 113, 45, 54, 50, 41]","[23, 105, 44, 51, 42, 33]","[21, 102, 41, 43, 34, 30]","[14, 54, 34, 35, 30, 25]","[12, 52, 32, 31, 22, 21]","[11, 44, 21, 24, 21, 15]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[33, 113, 101, 54, 51, 53]","[31, 103, 100, 45, 45, 45]","[23, 55, 55, 42, 41, 41]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[33, 115, 45, 110, 52, 50]","[30, 110, 43, 103, 50, 41]","[21, 101, 42, 55, 43, 35]","[15, 53, 35, 52, 40, 31]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[33, 120, 52, 103, 53, 44]","[30, 113, 45, 54, 50, 41]","[23, 105, 44, 51, 42, 33]","[21, 102, 41, 43, 34, 30]","[14, 54, 34, 35, 30, 25]","[12, 52, 32, 31, 22, 21]","[11, 44, 21, 24, 21, 15]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[33, 120, 53, 102, 52, 45]","[30, 113, 45, 54, 50, 41]","[23, 105, 44, 51, 42, 33]","[21, 102, 41, 43, 34, 30]","[14, 54, 34, 35, 30, 25]","[12, 52, 32, 31, 22, 21]","[11, 44, 21, 24, 21, 15]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[34, 110, 100, 53, 100, 52]","[24, 101, 54, 50, 54, 45]","[21, 54, 52, 45, 45, 40]","[15, 52, 45, 44, 40, 31]","[13, 45, 43, 42, 31, 23]","[12, 42, 40, 33, 23, 21]","[10, 35, 31, 25, 20, 20]","[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[34, 111, 104, 53, 52, 51]","[32, 101, 102, 50, 45, 43]","[24, 53, 55, 43, 42, 40]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[34, 111, 105, 52, 51, 52]","[32, 101, 102, 50, 45, 43]","[24, 53, 55, 43, 42, 40]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[34, 120, 52, 100, 54, 45]","[30, 113, 45, 54, 50, 41]","[23, 105, 44, 51, 42, 33]","[21, 102, 41, 43, 34, 30]","[14, 54, 34, 35, 30, 25]","[12, 52, 32, 31, 22, 21]","[11, 44, 21, 24, 21, 15]","[10, 34, 13, 23, 13, 13]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[35, 105, 103, 54, 51, 53]","[32, 101, 102, 50, 45, 43]","[24, 53, 55, 43, 42, 40]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[35, 110, 104, 45, 55, 52]","[32, 102, 102, 43, 52, 42]","[25, 55, 52, 40, 45, 40]","[22, 54, 45, 35, 41, 30]","[20, 52, 42, 32, 33, 22]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[35, 110, 104, 53, 51, 52]","[32, 101, 102, 50, 45, 43]","[24, 53, 55, 43, 42, 40]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[35, 111, 102, 52, 101, 44]","[32, 100, 55, 50, 54, 41]","[24, 53, 53, 44, 51, 32]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[40, 111, 55, 45, 104, 50]","[32, 102, 54, 44, 100, 41]","[24, 54, 51, 42, 51, 35]","[23, 51, 44, 40, 43, 30]","[20, 45, 42, 32, 34, 24]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[40, 111, 102, 52, 101, 43]","[32, 100, 55, 50, 54, 41]","[24, 53, 53, 44, 51, 32]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[40, 112, 102, 44, 100, 51]","[31, 102, 55, 43, 52, 45]","[25, 55, 52, 40, 45, 40]","[22, 54, 45, 35, 41, 30]","[20, 52, 42, 32, 33, 22]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[41, 104, 103, 52, 100, 45]","[32, 55, 101, 50, 52, 42]","[25, 52, 53, 44, 50, 33]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[42, 105, 101, 53, 100, 44]","[33, 100, 55, 51, 52, 41]","[30, 52, 53, 44, 50, 32]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
