"[12, 41, 30, 21, 12, 15]","[10, 31, 22, 15, 10, 13]","[3, 21, 15, 12, 5, 11]","[2, 11, 12, 10, 4, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[14, 34, 32, 23, 10, 14]","[12, 30, 25, 15, 2, 13]","[10, 22, 21, 12, 1, 10]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[14, 35, 25, 21, 12, 20]","[12, 31, 20, 15, 10, 13]","[5, 21, 13, 12, 5, 11]","[4, 11, 10, 10, 4, 4]","[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[14, 35, 32, 21, 10, 15]","[12, 30, 25, 14, 4, 12]","[10, 22, 21, 12, 1, 10]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[14, 40, 22, 22, 14, 15]","[12, 32, 13, 21, 10, 13]","[10, 22, 5, 13, 5, 12]","[4, 14, 1, 11, 4, 5]","[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[14, 40, 23, 21, 14, 15]","[12, 31, 20, 15, 10, 13]","[5, 21, 13, 12, 5, 11]","[4, 11, 10, 10, 4, 4]","[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[14, 40, 32, 21, 11, 13]","[12, 30, 25, 14, 4, 12]","[10, 22, 21, 12, 1, 10]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[14, 41, 20, 23, 14, 15]","[12, 32, 13, 21, 10, 13]","[10, 22, 5, 13, 5, 12]","[4, 14, 1, 11, 4, 5]","[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[14, 41, 31, 21, 10, 14]","[12, 30, 25, 15, 2, 13]","[10, 22, 21, 12, 1, 10]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[15, 40, 31, 20, 11, 14]","[12, 30, 25, 14, 4, 12]","[10, 22, 21, 12, 1, 10]","[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[20, 35, 21, 30, 5, 20]","[12, 33, 13, 23, 4, 13]","[11, 25, 10, 13, 2, 12]","[5, 15, 2, 11, 1, 10]","[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
