"[10010101, 10101101]","[10001101, 10100011]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10010110, 10101100]","[10001101, 10100011]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10010111, 10101011]","[10010000, 10100000]","[10000011, 10011011]","[1111010, 10010010]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10011000, 10101010]","[10001110, 10100010]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10011001, 10101001]","[10010000, 10100000]","[10000011, 10011011]","[1111010, 10010010]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10011010, 10101000]","[10010000, 10100000]","[10000011, 10011011]","[1111010, 10010010]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10011100, 10100110]","[10010011, 10011101]","[10001011, 10010011]","[10000010, 10001010]","[1110110, 10000100]","[1101101, 1111100]","[1101000, 1110001]","[1100000, 1101001]","[1010111, 1100010]","[1010000, 1011001]","[1000111, 1010010]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
