"[1010011, 1010111]","[1001101, 1001101]","[1000110, 1000100]","[111100, 111110]","[111000, 110100]","[110001, 101101]","[101011, 100101]","[100101, 11101]","[100000, 10101]","[11000, 10000]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[1010100, 1010110]","[1001100, 1001110]","[1000100, 1000110]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[1010101, 1010101]","[1001110, 1001100]","[1000110, 1000100]","[111100, 111110]","[111000, 110100]","[110001, 101101]","[101011, 100101]","[100101, 11101]","[100000, 10101]","[11000, 10000]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[1010110, 1010100]","[1001110, 1001100]","[1000110, 1000100]","[111100, 111110]","[111000, 110100]","[110001, 101101]","[101011, 100101]","[100101, 11101]","[100000, 10101]","[11000, 10000]","[10000, 1100]","[1001, 1000]","[11, 100]"
