Source,Target,Type,ID,Label,timeset,Weight
"We have: 100100001 0's, 101001010 1's.","We have: 100010101 0's, 101000010 1's.",Directed,65,,,2
"We have: 10010001 0's, 10011110 1's.","We have: 10001000 0's, 10010101 1's.",Directed,66,,,1
"We have: 10010001 0's, 10101111 1's.","We have: 10001001 0's, 10100101 1's.",Directed,67,,,181
"We have: 1001001 0's, 1010000 1's.","We have: 111111 0's, 1001010 1's.",Directed,68,,,310
"We have: 1001001 0's, 1011110 1's.","We have: 1000010 0's, 1010101 1's.",Directed,69,,,2
"We have: 10010010 0's, 10101110 1's.","We have: 10001001 0's, 10100101 1's.",Directed,70,,,1
"We have: 10010011 0's, 10011101 1's.","We have: 10001011 0's, 10010011 1's.",Directed,71,,,2
"We have: 100100110 0's, 100110101 1's.","We have: 100011100 0's, 100101011 1's.",Directed,72,,,1
"We have: 100100110 0's, 101101101 1's.","We have: 100011101 0's, 101100010 1's.",Directed,73,,,23
"We have: 100100111 0's, 101101100 1's.","We have: 100011110 0's, 101100001 1's.",Directed,74,,,35
"We have: 100101 0's, 101010 1's.","We have: 11110 0's, 100011 1's.",Directed,75,,,359
"We have: 100101 0's, 11101 1's.","We have: 100000 0's, 10101 1's.",Directed,76,,,28
"We have: 1001010 0's, 1000001 1's.","We have: 1000000 0's, 111011 1's.",Directed,77,,,8
"We have: 1001010 0's, 1011101 1's.","We have: 1000011 0's, 1010100 1's.",Directed,78,,,4
"We have: 10010100 0's, 10101100 1's.","We have: 10001010 0's, 10100100 1's.",Directed,79,,,2
"We have: 100101000 0's, 101010111 1's.","We have: 100011110 0's, 101001101 1's.",Directed,80,,,7
"We have: 100101000 0's, 101101011 1's.","We have: 100011110 0's, 101100001 1's.",Directed,81,,,2
"We have: 10010101 0's, 10101101 1's.","We have: 10001101 0's, 10100011 1's.",Directed,82,,,5
"We have: 100101011 0's, 101010100 1's.","We have: 100100001 0's, 101001010 1's.",Directed,83,,,1
"We have: 1001011 0's, 1001111 1's.","We have: 1000101 0's, 1000101 1's.",Directed,84,,,1
"We have: 10010110 0's, 10101100 1's.","We have: 10001101 0's, 10100011 1's.",Directed,85,,,1
"We have: 10010111 0's, 10101011 1's.","We have: 10010000 0's, 10100000 1's.",Directed,86,,,3
"We have: 10010111 0's, 10111011 1's.","We have: 10010001 0's, 10101111 1's.",Directed,87,,,175
"We have: 100101110 0's, 101111001 1's.","We have: 100100110 0's, 101101101 1's.",Directed,88,,,22
