Input,Output
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100110, 11100]","[100000, 10101]"
"[110000, 100000]","[100110, 11100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[1100, 1111]","[1001, 1000]"
"[10010, 10101]","[1100, 1111]"
"[10110, 11101]","[10010, 10101]"
"[11011, 100101]","[10110, 11101]"
"[11110, 101111]","[11011, 100101]"
"[100100, 110111]","[11110, 101111]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[101000, 110011]","[100001, 101100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101100, 110001]","[100101, 101010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11010, 11010]","[10101, 10011]"
"[11111, 100010]","[11010, 11010]"
"[100110, 101001]","[11111, 100010]"
"[101101, 110000]","[100110, 101001]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110010, 101100]","[101011, 100101]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101100, 111101]","[100111, 110100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[101000, 110011]","[100001, 101100]"
"[101101, 111100]","[101000, 110011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[101111, 111100]","[101011, 110010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101100, 110001]","[100101, 101010]"
"[110010, 111001]","[101100, 110001]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11010, 11010]","[10101, 10011]"
"[11111, 100010]","[11010, 11010]"
"[100110, 101001]","[11111, 100010]"
"[101101, 110000]","[100110, 101001]"
"[110011, 111000]","[101101, 110000]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[110101, 110111]","[110001, 101101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[110110, 110110]","[110001, 101101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101100, 111101]","[100111, 110100]"
"[110011, 1000101]","[101100, 111101]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[110100, 1000100]","[101011, 111110]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[110111, 1000011]","[110001, 111010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[101111, 111100]","[101011, 110010]"
"[111000, 1000010]","[101111, 111100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111001, 1000001]","[110001, 111010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[1000000, 111011]","[111000, 110100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101100, 111101]","[100111, 110100]"
"[110011, 1000101]","[101100, 111101]"
"[111001, 1001110]","[110011, 1000101]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[110100, 1000100]","[101011, 111110]"
"[111010, 1001101]","[110100, 1000100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[110100, 1000100]","[101011, 111110]"
"[1000000, 1001000]","[110100, 1000100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[110111, 1000011]","[110001, 111010]"
"[111101, 1001100]","[110111, 1000011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
