Input,Output,SUM
"[0, 111]","[0, 11]",28
"[0, 11]","[0, 0]",29
"[10000, 10110]","[1001, 10001]",22
"[10000, 1100]","[1001, 1000]",400
"[100000, 100001]","[10110, 11101]",2
"[100000, 10101]","[11000, 10000]",31
"[1000000, 1001000]","[110100, 1000100]",1
"[1000000, 111011]","[111000, 110100]",9
"[10000000, 10001100]","[1110011, 10000111]",1
"[100000000, 100110001]","[11110010, 100101011]",2
"[10000001, 10001011]","[1110110, 10000100]",2
"[100000011, 101000001]","[11110110, 100111010]",4
"[1000001, 1001001]","[110111, 1000011]",1
"[10000010, 10001010]","[1110110, 10000100]",4
"[100000100, 100101100]","[11110111, 100100101]",3
"[100000100, 101000000]","[11110101, 100111011]",1
"[100000101, 100011010]","[11111001, 100010010]",4
"[10000011, 10011011]","[1111010, 10010010]",11
"[100001, 101100]","[11001, 100110]",19
"[1000010, 1001000]","[110111, 1000011]",1
"[1000010, 1010101]","[111001, 1001110]",3
"[10000100, 10001000]","[1110111, 10000011]",1
"[10000100, 10011010]","[1111001, 10010011]",65
"[100001000, 101001111]","[11111101, 101000110]",25
"[100001001, 100111010]","[11111110, 100110001]",12
"[100001001, 101001110]","[11111110, 101000101]",1
"[100001010, 100111011]","[100000000, 100110001]",1
"[100001010, 101001101]","[11111111, 101000100]",39
"[1000011, 1010100]","[111010, 1001101]",5
"[10000110, 10010111]","[1111101, 10001110]",1
"[100001101, 100110111]","[100000100, 100101100]",1
"[100001101, 101001011]","[100000011, 101000001]",1
"[10000111, 10100111]","[1111111, 10011101]",8
"[100001110, 100110110]","[100000100, 100101100]",1
"[100001110, 101001010]","[100000011, 101000001]",2
"[1000100, 1000110]","[111010, 1000000]",3
"[10001000, 10010101]","[1111101, 10001110]",2
"[10001000, 10100111]","[1111110, 10011111]",1
"[10001001, 10100101]","[1111111, 10011101]",181
"[100010010, 100100001]","[100000101, 100011010]",3
"[100010011, 101011000]","[100001000, 101001111]",24
"[1000101, 1000101]","[111100, 111110]",2
"[10001010, 10100100]","[1111111, 10011101]",3
"[100010100, 101010111]","[100001010, 101001101]",38
"[100010101, 101000010]","[100001001, 100111010]",11
"[10001011, 10010011]","[10000010, 10001010]",3
"[100010111, 101010101]","[100001110, 101001010]",1
"[1000110, 1000100]","[111100, 111110]",9
"[1000110, 1010011]","[111110, 1001011]",5
"[10001100, 10010010]","[10000001, 10001011]",1
"[10001101, 10100011]","[10000100, 10011010]",7
"[1000111, 1010010]","[111111, 1001010]",23
"[10001110, 10100010]","[10000100, 10011010]",57
"[100011100, 100101011]","[100010010, 100100001]",2
"[100011101, 101100010]","[100010011, 101011000]",23
"[10001111, 10110001]","[10000111, 10100111]",7
"[100011110, 101001101]","[100010101, 101000010]",8
"[100011110, 101100001]","[100010100, 101010111]",37
"[1001, 10001]","[11, 1100]",23
"[1001, 1000]","[11, 100]",409
"[10010, 10101]","[1100, 1111]",7
"[100100, 110111]","[11110, 101111]",1
"[1001000, 1010001]","[111110, 1001011]",3
"[10010000, 10100000]","[10000011, 10011011]",10
"[100100001, 101001010]","[100010101, 101000010]",2
"[10010001, 10011110]","[10001000, 10010101]",1
"[10010001, 10101111]","[10001001, 10100101]",179
"[1001001, 1010000]","[111111, 1001010]",308
"[1001001, 1011110]","[1000010, 1010101]",2
"[10010010, 10101110]","[10001001, 10100101]",1
"[10010011, 10011101]","[10001011, 10010011]",2
"[100100110, 100110101]","[100011100, 100101011]",1
"[100100110, 101101101]","[100011101, 101100010]",22
"[100100111, 101101100]","[100011110, 101100001]",34
"[100101, 101010]","[11110, 100011]",357
"[100101, 11101]","[100000, 10101]",28
"[1001010, 1000001]","[1000000, 111011]",8
"[1001010, 1011101]","[1000011, 1010100]",4
"[10010100, 10101100]","[10001010, 10100100]",2
"[100101000, 101010111]","[100011110, 101001101]",7
"[100101000, 101101011]","[100011110, 101100001]",2
"[10010101, 10101101]","[10001101, 10100011]",5
"[100101011, 101010100]","[100100001, 101001010]",1
"[1001011, 1001111]","[1000101, 1000101]",1
"[10010110, 10101100]","[10001101, 10100011]",1
"[10010111, 10101011]","[10010000, 10100000]",3
"[10010111, 10111011]","[10010001, 10101111]",173
"[100101110, 101111001]","[100100110, 101101101]",21
"[100101111, 101111000]","[100100111, 101101100]",25
"[10011, 11111]","[10000, 10110]",21
"[100110, 101001]","[11111, 100010]",3
"[100110, 11100]","[100000, 10101]",2
"[1001100, 1001110]","[1000100, 1000110]",2
"[10011000, 10101010]","[10001110, 10100010]",56
"[10011000, 10111010]","[10001111, 10110001]",6
"[100110000, 101110111]","[100100111, 101101100]",8
"[100110001, 101110110]","[100101000, 101101011]",1
"[10011001, 10101001]","[10010000, 10100000]",4
"[10011001, 10111001]","[10010001, 10101111]",4
"[100110011, 101100000]","[100101000, 101010111]",6
"[1001101, 1001101]","[1000110, 1000100]",2
"[1001101, 1011100]","[1000110, 1010011]",4
"[10011010, 10101000]","[10010000, 10100000]",2
"[10011010, 10111000]","[10010001, 10101111]",1
"[100111, 101000]","[100000, 100001]",1
"[100111, 110100]","[100001, 101100]",16
"[1001110, 1001100]","[1000110, 1000100]",5
"[1001110, 1011011]","[1001000, 1010001]",1
"[10011100, 10100110]","[10010011, 10011101]",1
"[10011100, 10110110]","[10010100, 10101100]",1
"[100111001, 110000010]","[100101110, 101111001]",20
"[10011101, 10110111]","[10010111, 10101011]",1
"[100111010, 110000001]","[100101111, 101111000]",24
"[100111011, 101101100]","[100110011, 101100000]",5
"[100111011, 110000000]","[100110000, 101110111]",7
"[1001111, 1011010]","[1001001, 1010000]",307
"[10011110, 10110110]","[10010111, 10101011]",1
"[10011111, 10110101]","[10011001, 10101001]",1
"[10011111, 11000101]","[10011000, 10111010]",2
"[1010, 10000]","[11, 1100]",1
"[101000, 110011]","[100001, 101100]",2
"[1010000, 1001010]","[1000110, 1000100]",1
"[1010000, 1011001]","[1000111, 1010010]",22
"[10100000, 10110100]","[10010101, 10101101]",4
"[10100001, 10110011]","[10011000, 10101010]",1
"[10100001, 11000011]","[10010111, 10111011]",171
"[1010001, 1011000]","[1001000, 1010001]",1
"[1010001, 1100110]","[1001001, 1011110]",1
"[10100010, 10110010]","[10011000, 10101010]",54
"[10100010, 11000010]","[10010111, 10111011]",1
